PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6500,PG/SG,ATL,BOS,158580,522878,-,28,17.85,3.19,3.16,2.55,1.35,0.66,0.52,21.01,21.04,24.2,1.18,6.35,8.91,4.08,6.48,2.67,2.04,15.39,6.63,28.61,28.61,29.54,4.54,0.87%,135,125,WED,12451,1,17121,21.57,38.29,2.01,2.01,6.05,21.21,26.01,29.54,32.57,38.38,40.65,49.49,
37814,"Luke Kennard",4200,PG/SG,ATL,BOS,158580,887661,-,23,7.92,2.61,2.24,1.68,0.58,0.63,0.22,10.16,10.53,12.77,0.85,4.85,1.99,1.06,3.73,0.85,0.77,5.72,2.74,16.38,16.38,16.79,4,0.52%,135,125,WED,38279,3,37814,10.67,23.62,0.76,0.76,2.48,10.53,13.78,16.79,19.05,23.56,25.31,33.08,
1115445,"Nickeil Alexander-Walker",6800,SG,ATL,BOS,158580,1067668,-,33,17.92,3,3.52,2.88,1.76,1.02,0.62,21.44,20.92,24.44,1.64,6.52,7.46,3.24,7.46,3.31,2.81,14.92,6.12,29.96,29.96,30.79,4.53,0.92%,135,125,WED,69666,4,1115445,22.32,39.9,1.16,1.16,6.64,22.39,27.23,30.79,34.61,39.95,42.5,52.42,
2439277,"Onyeka Okongwu",7500,C,ATL,BOS,158580,1185367,,33,16.99,8.23,3.05,1.42,1.89,0.93,0.7,20.04,25.22,28.27,1.63,11.28,9.25,4.81,3.94,4.04,3.1,13.19,6.23,34.44,34.44,35.24,4.7,1.34%,135,125,WED,91845,5,2439277,26.93,44.67,1.78,1.78,8.35,26.81,31.66,35.24,39.07,44.94,47.24,57.71,
2439347,"Vit Krejci",3500,SG/SF,ATL,BOS,158580,1257428,,9,2.84,0.83,0.65,0.7,0.15,0.18,0.08,3.49,3.67,4.32,0.26,1.48,0.61,0.26,1.64,0.3,0.22,2.25,0.96,5.44,5.44,5.65,1.61,0.04%,135,125,WED,161284,6,2439347,1.91,10.34,0,0,0,1.7,3.96,5.65,7.63,10.74,12.15,18.08,
3005263,"Jalen Johnson",10000,PF,ATL,BOS,158580,1230356,,36.5,21.85,10.28,6.5,1.65,3.03,0.82,0.46,28.35,32.13,38.63,1.28,16.78,13.21,6.39,4.87,5.39,4.12,18.08,8.04,44.75,44.75,47.25,4.73,1.94%,135,125,WED,165214,7,3005263,37.53,57.73,1.95,1.95,10.34,37.29,42.91,47.25,51.34,57.98,60.79,72.54,
3005340,"Corey Kispert",4000,SF/PF,ATL,BOS,158580,1077554,,18,8.82,1.71,1.45,1.63,0.7,0.49,0.04,10.27,10.53,11.98,0.53,3.16,3.03,1.37,4.4,1.51,1.19,7.43,3,13.94,13.94,14.66,3.67,0.48%,135,125,WED,72585,8,3005340,8.87,21.25,0.83,0.83,1.27,8.9,12.3,14.66,17.28,21.47,23.3,30.63,
3587713,"Christian Koloko",3300,C,ATL,BOS,158580,1193674,,12.5,3.55,2.49,0.43,0.04,0.41,0.36,0.8,3.98,6.04,6.47,1.16,2.92,2.89,1.58,0.17,0.54,0.29,3.06,1.62,10.25,10.25,9.44,2.86,0.23%,135,125,WED,92616,9,3587713,5.5,13.99,0,0,0.01,5.36,7.65,9.44,11.48,14.29,15.31,20.92,
3587993,"Dyson Daniels",6700,PG,ATL,BOS,158580,1357745,,33.5,10.81,6.49,6.34,0.45,1.5,1.18,0.41,17.15,17.3,23.64,1.59,12.83,8.24,4.21,1.7,1.7,1.03,9.94,4.66,31.38,31.38,31.28,4.67,1.68%,135,125,WED,195261,11,3587993,23.97,39.5,1.66,1.66,5.78,23.91,28.23,31.28,34.59,39.67,41.71,51.88,
4878163,"Mouhamed Gueye",3600,PF/C,ATL,BOS,158580,1325101,,13.5,3.11,3.26,1.05,0.38,0.25,0.71,0.14,4.16,6.37,7.42,0.85,4.31,1.75,0.72,1.38,0.82,0.54,3.13,1.1,10.9,10.9,10.53,2.93,0.29%,135,125,WED,180180,13,4878163,6.33,15.43,0,0,0.02,6.16,8.48,10.53,12.33,15.41,16.95,22.34,
