PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID,OWNERSHIP
942480,"Cale Makar",,D,CAN,FRA,,1057102,1,1,,0.4383,1.2236,3.5016,0,0,0,0,0,0.206,0.5193,1.6619,0.7253,16.81,5.54,30.74,39,,942480,0.719,11.75,19.3,,,87789,1,10.88,15.98,1,
31733,"Connor McDavid",,C,CAN,FRA,,878032,1,1,,0.8171,1.5694,4.3044,0,0,0,0,0,0.2184,0.5865,2.3865,0.8049,24.08,10.3,41.1,37.33,,31733,0.744,16.26,17.7,,,31006,1,13.3,19.22,2,
17128,"Tom Wilson",,W,CAN,FRA,,659860,1,,,0.3602,0.3407,1.9192,0,0,0,0,0,0,0,0.7009,0,7.91,0,17.95,6.67,,17128,2.243,6.56,13,,,30148,1,7.84,11.19,3,
35733,"Devon Toews",,D,CAN,FRA,,831460,1,,,0.1461,0.5718,1.9294,0,0,0,0,0,0,0,0.7179,0,7.25,0.13,16.04,20.67,,35733,0.76,5.47,16.3,,,83302,1,6.87,10.17,4,
6418266,"Macklin Celebrini",,C,CAN,FRA,,1497708,1,2,,0.4947,0.719,3.294,0,0,0,0,0,0.0861,0.1485,1.2137,0.2346,13.89,3.09,27.23,23,,6418266,0.557,9.53,14.6,,,449320,1,10.42,14.93,5,
16668,"Nathan MacKinnon",,C,CAN,FRA,,741404,2,1,,0.6969,1.156,4.6925,0,0,0,0,0,0.2142,0.4233,1.8529,0.6375,21.28,7.97,37.73,33.67,,16668,0.619,14.13,16.4,,,30677,1,12.85,18.51,6,
31680,"Colton Parayko",,D,CAN,FRA,,680852,2,,,0.1023,0.2832,1.4661,0,0,0,0,0,0,0,0.3855,0,4.6,0,11.78,5.67,,31680,1.106,3.77,16.6,,,30565,1,5.61,8.03,7,
37779,"Nick Suzuki",,C,CAN,FRA,,1057111,2,,,0.2679,0.4163,1.5768,0,0,0,0,0,0,0,0.6842,0,6.9,0,16.42,5.67,,37779,0.635,5.17,12.7,,,40159,1,7.44,10.75,8,
1279531,"Brandon Hagel",,W,CAN,FRA,,920496,2,,,0.4898,0.4598,2.5072,0,0,0,0,0,0,0,0.9496,0,10.83,0.82,23.19,8.67,,1279531,0.602,7.59,13.7,,,92058,1,9.66,13.79,9,
34600,"Josh Morrissey",,D,CAN,FRA,,741443,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,34600,0.724,0.36,21.3,,,30599,1,1.15,1.15,10,39
17172,"Mark Stone",,W,CAN,FRA,,556369,3,2,,0.405,0.6389,2.0356,0,0,0,0,0,0.074,0.1393,1.0439,0.2133,10.17,0.65,21.93,17,,17172,0.479,7.37,13.8,,,31019,1,9.19,13.29,11,
14383,"Drew Doughty",,D,CAN,FRA,,456625,3,,,0.0933,0.2911,1.2583,0,0,0,0,0,0,0,0.3844,0,4.19,0,11.28,3,,14383,0.816,3.39,16.2,,,29920,1,5.54,7.97,12,
14202,"Sidney Crosby",,C,CAN,FRA,,296786,3,1,,0.5361,0.7968,2.818,0,0,0,0,0,0.1821,0.2754,1.3329,0.4575,13.77,3.1,26.95,19,,14202,0.734,9.82,15.3,,,30424,1,10.3,14.84,13,
1283915,"Thomas Harley",,D,CAN,FRA,,1172200,2,,,0.1325,0.3379,1.5969,0,0,0,0,0,0,0,0.4704,0,5.32,0,12.8,5.67,,1283915,0.6,4.04,15.1,,,92099,1,5.84,8.44,14,
35796,"Mitch Marner",,C,CAN,FRA,,878035,3,2,,0.3545,0.8916,2.1108,0,0,0,0,0,0.0594,0.1959,1.2461,0.2553,11.26,1.52,23.29,25.67,,35796,0.525,8.19,13.4,,,30483,1,9.4,13.86,15,
