PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
4874279,"Amen Thompson",8200,PG,HOU,IND,159036,1429337,,37,18.74,7.28,6.01,0.37,2.72,1.49,0.54,24.75,26.02,32.03,2.03,13.29,12.74,6.62,1.74,5.95,4.4,14.48,6.99,39.86,39.86,40.15,27.47,54.8,0,0,0,28.11,28.11,28.11,28.11,28.11,28.11,28.11,0%,141,133,MON,266069,36,4874279,,4.9
6412914,"Reed Sheppard",4900,PG/SG,HOU,IND,159036,1465031,,30,16.96,2.72,3.37,3.46,1.38,1.28,0.58,20.33,19.68,23.05,1.86,6.09,6.86,2.71,9.22,1.49,1.16,16.08,6.17,29.48,29.48,30.18,18.36,44.18,0,0,0,21.13,21.13,21.13,21.13,21.13,21.13,21.13,0%,141,133,MON,288915,37,6412914,,6.16
18956,"T.J. McConnell",4100,PG,IND,HOU,159036,551787,,16,7.34,2.24,3.28,0.34,0.91,1.02,0.16,10.62,9.58,12.86,1.18,5.52,5.46,2.86,0.95,0.72,0.58,6.41,3.2,17.58,17.58,17.18,10.42,25.19,0,0,0,12.03,12.03,12.03,12.03,12.03,12.03,12.03,0%,133,141,MON,22393,41,18956,,4.19
35186,"Pascal Siakam",8600,PF/C,IND,HOU,159036,853408,,34,22.76,5.99,3.75,1.66,1.75,0.67,0.5,26.51,28.75,32.5,1.17,9.74,13.18,6.68,4.24,6.23,4.43,17.42,8.34,37.33,37.33,38.42,28.53,49.39,0,0,0,26.89,26.89,26.89,26.89,26.89,26.89,26.89,0%,133,141,MON,27998,42,35186,,4.47
2439096,"Aaron Nesmith",5600,SF,IND,HOU,159036,1134264,,32,13.61,3.69,2.81,2.3,1.24,0.49,0.49,16.42,17.3,20.11,0.98,6.5,5.06,2.23,5.72,2.68,2.26,10.78,4.53,23.95,23.95,24.97,15.89,35.76,0,0,0,17.48,17.48,17.48,17.48,17.48,17.48,17.48,0%,133,141,MON,87350,44,2439096,,4.46
3005227,"Isaiah Jackson",3100,C,IND,HOU,159036,1245934,,6,1.86,2.43,0.18,0,0.31,0.1,0.41,2.04,4.29,4.47,0.51,2.61,1.17,0.69,0,0.67,0.47,1.17,0.69,6.27,6.27,6.19,2.16,11.85,0,0,0,4.33,4.33,4.33,4.33,4.33,4.33,4.33,0%,133,141,MON,70338,46,3005227,,2
3028281,"Jay Huff",4300,PF/C,IND,HOU,159036,942843,,17,6.1,3.22,0.99,1.14,0.52,0.73,1.01,7.09,9.32,10.31,1.74,4.21,1.77,0.93,3.25,1.01,0.82,5.02,2.07,16.15,16.15,15.41,8.25,24.25,0,0,0,10.79,10.79,10.79,10.79,10.79,10.79,10.79,0%,133,141,MON,70219,47,3028281,,3.58
3587792,"Andrew Nembhard",7100,PG,IND,HOU,159036,1134158,,33,15.75,4.89,7.71,1.65,2.83,0.74,0.17,23.46,20.64,28.35,0.91,12.6,8.42,3.97,4.56,3.55,2.86,12.98,5.62,33.08,33.08,34.74,25.14,45.62,0,0,0,24.32,24.32,24.32,24.32,24.32,24.32,24.32,0%,133,141,MON,87352,48,3587792,,4.89
3587794,"Bennedict Mathurin",5800,SG/SF,IND,HOU,159036,1239596,,30,14.41,5.28,1.72,1.36,1.78,0.81,0.15,16.13,19.69,21.41,0.96,7,6.8,2.98,3.85,5.16,4.36,10.65,4.34,24.43,24.43,25.42,16.86,35.35,0,0,0,17.79,17.79,17.79,17.79,17.79,17.79,17.79,0%,133,141,MON,149200,49,3587794,,4.38
4878371,"Jarace Walker",5100,SF/PF,IND,HOU,159036,1402709,,26,10.8,3.88,1.83,1.71,1.43,1.08,0.36,12.63,14.68,16.51,1.44,5.71,4.56,2.03,4.42,2.2,1.63,8.98,3.74,21.09,21.09,21.42,13.73,30.49,0,0,0,14.99,14.99,14.99,14.99,14.99,14.99,14.99,0%,133,141,MON,245149,51,4878371,,4.2
4878372,"Ben Sheppard",3400,SG,IND,HOU,159036,1175324,,14,4.09,1.39,1.21,0.79,0.44,0.33,0.1,5.3,5.48,6.69,0.43,2.6,1.59,0.64,2.37,0.5,0.42,3.96,1.43,8.42,8.42,8.68,4.49,13.95,0,0,0,6.08,6.08,6.08,6.08,6.08,6.08,6.08,0%,133,141,MON,90773,52,4878372,,2.55
6412936,"Johnny Furphy",3800,SF,IND,HOU,159036,1475759,,19,4.73,5.3,1.04,0.71,0.9,0.82,0.34,5.77,10.03,11.07,1.16,6.34,2.19,0.9,2.21,1.28,0.78,4.4,1.61,15.23,15.23,15.16,7.89,24.15,0,0,0,10.61,10.61,10.61,10.61,10.61,10.61,10.61,0%,133,141,MON,290766,53,6412936,,3.99
3080545,"Micah Potter",3300,PF/C,IND,HOU,159036,945061,,13,4.5,3,0.57,0.86,0.54,0.31,0.3,5.07,7.5,8.07,0.61,3.57,1.2,0.5,2.51,1.04,0.91,3.71,1.36,10.25,10.25,10.53,5.64,16.57,0,0,0,7.37,7.37,7.37,7.37,7.37,7.37,7.37,0%,133,141,MON,70478,57,3080545,,3.19
1037,"James Harden",9500,PG,LAC,PHI,159038,395388,Q,34,21.77,4.39,7.96,2.87,3.48,1.07,0.33,29.73,26.16,34.12,1.4,12.35,7.41,2.99,8.24,8.1,7.18,15.65,5.86,39.7,39.7,42.37,30.69,55.58,0,0,10.46,29.66,29.66,29.66,29.66,29.66,29.66,29.66,0%,151,128,MON,12228,58,1037,,4.46
1315,"Nicolas Batum",3400,PF,LAC,PHI,159038,456451,,19,4.45,2.39,0.73,1.25,0.56,0.58,0.56,5.18,6.84,7.57,1.14,3.12,0.58,0.24,3.13,0.26,0.21,3.71,1.49,11.27,11.27,11.16,6.65,16.48,0.39,0.39,0.24,6.53,9.05,11.16,13.27,16.63,17.9,24.64,0%,151,128,MON,12208,60,1315,,3.28
1498,"Brook Lopez",3500,C,LAC,PHI,159038,330047,,18,5.28,2.72,0.95,1.21,0.59,0.36,0.93,6.23,8,8.95,1.29,3.67,1.13,0.49,3.36,0.8,0.67,4.49,1.7,13.25,13.25,13,7.83,18.88,0.17,0.17,0.73,7.85,10.79,13,15.21,18.89,20.36,27.72,0%,151,128,MON,12193,61,1498,,3.71
13310,"Kawhi Leonard",9000,SF,LAC,PHI,159038,512591,Q,29,23.41,5.32,3.16,2.24,2.09,1.5,0.62,26.57,28.73,31.89,2.12,8.48,12.05,6.12,5.56,4.97,4.45,17.61,8.36,38.8,38.8,39.3,30.88,48.77,21.7,21.7,3.51,30.71,35.65,39.3,42.95,48.75,51.13,61.64,0%,151,128,MON,12333,62,13310,,4.37
35215,"Kris Dunn",4700,PG/SG,LAC,PHI,159038,698968,,26,7.27,2.68,2.78,1.18,1.44,1.21,0.11,10.05,9.95,12.73,1.32,5.46,3.61,1.63,3.33,0.63,0.47,6.94,2.81,17.18,17.18,17.33,12.33,22.77,15,15,0.18,12.35,15.1,17.33,19.56,22.82,24.36,30.54,0%,151,128,MON,28005,64,35215,,3.69
35226,"Ivica Zubac",7000,C,LAC,PHI,159038,920093,,30,14.29,10.57,2.05,0,2.15,0.34,0.48,16.34,24.86,26.91,0.82,12.62,9.83,6.08,0,3.02,2.13,9.83,6.08,30.36,30.36,32.11,24.54,39.59,4.38,4.38,3.76,24.5,29.02,32.11,35.2,39.72,41.62,49.24,0%,151,128,MON,27986,65,35226,,4.59
37823,"John Collins",5300,PF/C,LAC,PHI,159038,880468,,30,14.56,4.97,1.08,1.28,1.55,0.71,0.74,15.64,19.53,20.61,1.45,6.05,7.1,4.11,3.15,3.07,2.5,10.25,5.39,24.94,24.94,25.2,18.29,32.84,3.73,3.73,6.88,18.28,22.24,25.2,28.41,33.11,35.08,43.98,0%,151,128,MON,38281,67,37823,,4.75
37899,"Bogdan Bogdanovic",,,LAC,PHI,159038,830648,Q,18,6.76,2.15,1.93,1.25,1.01,0.33,0.08,8.69,8.91,10.84,0.41,4.08,2.59,1.04,3.51,1.02,0.91,6.1,2.29,12.46,12.46,13.28,8.17,19.44,1.42,1.42,1.2,8.16,10.85,13.28,15.49,19.48,20.81,27.89,0%,151,128,MON,38384,68,37899,
4878391,"Jordan Miller",5000,SG/SF,LAC,PHI,159038,1134092,,20,8.76,3.29,1.56,0.64,1.03,0.66,0.24,10.32,12.05,13.61,0.9,4.85,4.59,2.26,2.1,2.91,2.31,6.69,2.9,16.72,16.72,16.82,11.95,24.89,1.17,1.17,0.4,11.84,14.74,16.82,19.1,22.43,23.88,30.53,0%,151,128,MON,89573,70,4878391,,3.36
4878392,"Kobe Brown",3000,PF,LAC,PHI,159038,1176611,,0.5,0.12,0.1,0.04,0.01,0.01,0.01,0,0.16,0.22,0.26,0.01,0.14,0.07,0.03,0.04,0.02,0.02,0.11,0.04,0.32,0.32,0.33,0.12,0.66,0,0,0,0,0,0.33,0.55,1.1,1.43,2.42,0%,151,128,MON,90588,71,4878392,,0.11
6412955,"Cam Christie",3000,SG,LAC,PHI,159038,1460155,,0.5,0.12,0.06,0.04,0.01,0.01,0.01,0,0.16,0.18,0.22,0.01,0.1,0.06,0.02,0.04,0.05,0.04,0.1,0.03,0.27,0.27,0.28,0.04,0.57,0,0,0,0,0.19,0.28,0.47,0.75,0.89,1.4,0%,151,128,MON,289019,72,6412955,,0.09
8985681,"Yanic Konan Niederhauser",3000,C,LAC,PHI,159038,1405278,,1,0.28,0.26,0.01,0,0.04,0,0.03,0.29,0.54,0.55,0.03,0.27,0.16,0.1,0,0.14,0.09,0.16,0.1,0.66,0.66,0.66,0.1,1.4,0,0,0,0,0,0.66,1.06,1.58,1.72,3.04,0%,151,128,MON,245826,74,8985681,,0.22
8998366,"Kobe Sanders",3800,SF,LAC,PHI,159038,1231938,,14,3.89,1.76,1.03,0.62,0.94,0.29,0.03,4.92,5.65,6.68,0.32,2.79,1.66,0.75,1.59,0.64,0.54,3.25,1.37,7.57,7.57,8.12,5.38,11.24,1.75,1.75,0,5.38,6.98,8.12,9.38,11.32,12.12,15.9,0%,151,128,MON,149027,75,8998366,,2.14
