PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID
942480,"Cale Makar",,D,CAN,TBD,,1057102,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,942480,0,0,,,,87789,1,1.15,1.15,1
31733,"Connor McDavid",,C,CAN,TBD,,878032,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,31733,0,0,,,,31006,1,1.15,1.15,2
17128,"Tom Wilson",,W,CAN,TBD,,659860,1,,,0.22,0.2224,1.4614,0,0,0,0,0,0,0,0.4424,0,5.26,0,13.43,0,,17128,2.25,4.8,12.9,,,30148,1,6.38,9.03,3
35733,"Devon Toews",,D,CAN,TBD,,831460,1,,,0.0868,0.363,1.4289,0,0,0,0,0,0,0,0.4498,0,4.78,0,12.63,0,,35733,0.742,3.77,16.2,,,83302,1,6.13,8.95,4
6418266,"Macklin Celebrini",,C,CAN,TBD,,1497708,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,6418266,0,0,,,,449320,1,1.15,1.15,5
16668,"Nathan MacKinnon",,C,CAN,TBD,,741404,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,16668,0,0,,,,30677,1,1.15,1.15,6
31680,"Colton Parayko",,D,CAN,TBD,,680852,2,,,0.0607,0.1798,1.086,0,0,0,0,0,0,0,0.2405,0,3.09,0,9.07,0,,31680,1.081,2.71,16.5,,,30565,1,4.67,6.64,7
37779,"Nick Suzuki",,C,CAN,TBD,,1057111,2,,,0.164,0.2723,1.2034,0,0,0,0,0,0,0,0.4363,0,4.62,0,12.3,0,,37779,0.639,3.6,12.6,,,40159,1,6,8.61,8
1279531,"Brandon Hagel",,W,CAN,TBD,,920496,2,,,0.2991,0.2999,1.9085,0,0,0,0,0,0,0,0.599,0,7.13,0,16.21,0,,1279531,0.603,5.2,13.6,,,92058,1,7.09,10.06,9
34600,"Josh Morrissey",,D,CAN,TBD,,741443,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,34600,0.724,0.36,21.3,,,30599,1,1.15,1.15,10
