PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6200,PG/SG,ATL,CHA,159249,522878,-,28.5,16.83,2.63,2.78,2.37,1.34,0.67,0.64,19.61,19.46,22.24,1.31,5.41,8.44,3.89,6.12,2.52,1.93,14.56,6.26,26.75,26.75,27.42,4.42,3.03%,135,136,SAT,12451,1,17121,19.33,36.27,1.04,1.04,7.69,19.31,23.78,27.42,30.78,36.37,38.89,48.68,
35206,"Buddy Hield",4100,SG/SF,ATL,CHA,159249,697086,-,10.5,4.08,1.25,0.85,0.91,0.5,0.6,0.26,4.93,5.33,6.18,0.86,2.1,1.22,0.53,2.48,0.34,0.28,3.7,1.44,8.94,8.94,8.84,2.16,0.05%,135,136,SAT,27988,2,35206,4.49,14.04,0,0,0,4.42,6.88,8.84,10.8,14.24,15.47,21.12,
574538,"Gabe Vincent",3000,PG/SG,ATL,CHA,159249,851253,-,9.5,2.21,0.43,0.54,0.57,0.12,0.41,0.01,2.75,2.64,3.18,0.42,0.97,0.54,0.2,1.61,0.12,0.1,2.15,0.77,4.68,4.68,4.62,1.54,0.29%,135,136,SAT,73848,3,574538,1.39,8.66,0,0,0,1.22,3.16,4.62,5.84,8.27,9.48,14.59,
1115445,"Nickeil Alexander-Walker",7100,SG,ATL,CHA,159249,1067668,,32,17.49,2.66,3.56,2.8,1.29,1.67,0.6,21.05,20.15,23.71,2.27,6.22,7.28,3.16,7.28,3.27,2.78,14.56,5.96,31.54,31.54,31.45,4.43,1.22%,135,136,SAT,69666,4,1115445,23.25,41.08,4.32,4.32,5.75,22.96,27.71,31.45,35.19,40.93,43.18,54.16,
2439277,"Onyeka Okongwu",7400,C,ATL,CHA,159249,1185367,,29,14.13,6.28,2.66,1.43,1.54,1.48,0.96,16.79,20.41,23.07,2.44,8.94,7.41,3.84,3.98,2.81,2.16,11.39,5.27,31.44,31.44,30.87,4.17,0.79%,135,136,SAT,91845,5,2439277,22.84,39.66,1.16,1.16,2.76,22.83,27.24,30.87,34.24,39.69,42.28,52.14,
3005263,"Jalen Johnson",10900,PF,ATL,CHA,159249,1230356,,35,22.96,9.82,7.22,1.76,3.1,1.09,0.61,30.18,32.78,40,1.7,17.04,13.91,6.68,5.13,5.72,4.33,19.04,8.44,47.57,47.57,49.72,4.56,6.19%,135,136,SAT,165214,6,3005263,39.39,60.63,2.72,2.72,8.2,39.27,45.13,49.72,54.05,60.43,63.23,76.49,
3005340,"Corey Kispert",4200,SF,ATL,CHA,159249,1077554,,18,7.72,1.38,1.18,1.41,0.47,0.31,0.07,8.9,9.1,10.28,0.38,2.56,2.61,1.23,3.74,1.28,1.01,6.35,2.64,11.82,11.82,12.45,2.96,0.05%,135,136,SAT,72585,7,3005340,7.01,18.74,0.18,0.18,0.18,7,10.12,12.45,14.78,18.68,20.23,27.75,
3012652,"Jock Landale",6000,C,ATL,CHA,159249,850308,,21,9.53,5.69,1.33,0.75,0.94,0.45,0.48,10.86,15.22,16.55,0.93,7.02,5.41,2.88,1.93,2.17,1.52,7.34,3.63,20.2,20.2,20.45,3.41,0.22%,135,136,SAT,74198,9,3012652,14.7,26.66,0.59,0.59,0.13,14.67,17.78,20.45,22.9,26.67,28.23,35.35,
3587713,"Christian Koloko",3200,C,ATL,CHA,159249,1193674,,0.5,0.11,0.09,0.02,0,0.01,0.01,0.03,0.13,0.2,0.22,0.04,0.11,0.1,0.05,0,0.02,0.01,0.1,0.05,0.36,0.36,0.33,0.1,0.05%,135,136,SAT,92616,10,3587713,0.05,0.66,0,0,0,0.14,0.24,0.33,0.42,0.57,0.6,0.63,
3587993,"Dyson Daniels",6700,PG,ATL,CHA,159249,1357745,,32,10.76,5.26,5.94,0.47,1.38,1.79,0.38,16.7,16.02,21.96,2.17,11.2,8.6,4.17,1.78,1.7,1.02,10.38,4.64,31.11,31.11,30.21,4.51,3.16%,135,136,SAT,195261,12,3587993,22.76,38.54,1.29,1.29,4.61,22.66,26.97,30.21,33.72,38.57,40.73,50.17,
4878163,"Mouhamed Gueye",3900,PF/C,ATL,CHA,159249,1325101,,2.5,0.56,0.5,0.14,0.07,0.04,0.16,0.07,0.7,1.06,1.2,0.23,0.64,0.31,0.13,0.26,0.15,0.1,0.57,0.2,2.02,2.02,1.87,0.48,0.49%,135,136,SAT,180180,14,4878163,0.49,3.74,0,0,0,0,0,1.87,2.99,4.86,5.24,10.1,
6412725,"Zaccharie Risacher",4300,SF,ATL,CHA,159249,1432544,,21,7.31,3.44,0.88,1.05,0.68,0.65,0.32,8.19,10.75,11.63,0.97,4.32,3.66,1.63,3.02,1.32,0.89,6.68,2.68,14.99,14.99,15.06,3.5,0.32%,135,136,SAT,368366,16,6412725,9.51,21.44,0.51,0.51,0.61,9.35,12.46,15.06,17.4,21.55,23.11,30.9,
8985462,"Asa Newell",3500,PF/C,ATL,CHA,159249,1524332,,0.5,0.19,0.08,0.01,0.03,0.01,0.01,0.03,0.2,0.27,0.28,0.04,0.09,0.08,0.05,0.07,0.03,0.02,0.15,0.08,0.41,0.41,0.4,0.11,0.34%,135,136,SAT,457543,18,8985462,0.07,0.79,0,0,0,0.17,0.29,0.4,0.51,0.69,0.73,0.76,
409154,"Michael Porter Jr.",8900,SF,BKN,WAS,159245,1061724,,32,27.97,6.66,2.63,4.41,2.51,1.26,0.32,30.6,34.63,37.26,1.58,9.29,11.73,5.5,11.32,4.55,3.74,23.05,9.91,42.14,42.14,44.57,5.01,0.00%,126,139,SAT,75295,21,409154,34.49,55.22,0,0,0,34.42,40.11,44.57,49.03,55.46,58.44,70.57,
1115132,"Nic Claxton",6700,C,BKN,WAS,159245,1061682,,28,12.97,6.35,3.38,0.05,1.33,0.8,0.97,16.35,19.32,22.7,1.77,9.73,9.21,5.35,0.28,3.76,2.13,9.49,5.4,29.64,29.64,29.02,4.33,0.00%,126,139,SAT,71024,23,1115132,22.32,37.03,0,0,0,22.13,26.07,29.02,32.22,36.89,38.86,48.2,
1115590,"Terance Mann",3800,SG/SF,BKN,WAS,159245,879504,,1,0.33,0.12,0.1,0.04,0.05,0.03,0,0.43,0.45,0.55,0.03,0.22,0.17,0.08,0.11,0.06,0.05,0.28,0.12,0.66,0.66,0.69,0.18,0.00%,126,139,SAT,74628,24,1115590,0.23,1.38,0,0,0,0.3,0.49,0.69,0.89,1.18,1.26,1.31,
3005094,"Day'Ron Sharpe",5600,C,BKN,WAS,159245,1243725,,18,8.04,7.95,1.46,0.18,1.34,1.1,0.15,9.5,15.99,17.45,1.25,9.41,5.01,2.9,0.74,2.47,1.71,5.75,3.08,22.18,22.18,22.21,3.97,0.00%,126,139,SAT,148967,25,3005094,16.26,28.92,0,0,0,16.04,19.5,22.21,24.68,29.12,30.85,38.25,
3005396,"Ziaire Williams",4200,SG/SF,BKN,WAS,159245,1231313,,20,7.73,2.05,1,1.29,0.86,1.22,0.57,8.73,9.78,10.78,1.79,3.05,2.68,1.1,4.05,1.97,1.65,6.73,2.39,16.2,16.2,15.59,3.71,0.00%,126,139,SAT,149033,26,3005396,9.8,22.29,0,0,0,9.81,13.08,15.59,18.1,22.38,23.89,30.93,
3587751,"Ochai Agbaji",3000,SG/SF,BKN,WAS,159245,1132831,,2,0.64,0.34,0.04,0.08,0.09,0.03,0.02,0.68,0.98,1.02,0.05,0.38,0.36,0.16,0.27,0.09,0.07,0.63,0.24,1.17,1.17,1.22,0.41,0.00%,126,139,SAT,72696,28,3587751,0.34,2.32,0,0,0,0,0,1.22,1.53,3.97,4.27,7.63,
3588057,"Josh Minott",3000,SF/PF,BKN,WAS,159245,1324299,,2,0.69,0.25,0.12,0.11,0.08,0.11,0.06,0.81,0.94,1.06,0.17,0.37,0.26,0.13,0.27,0.11,0.09,0.53,0.24,1.6,1.6,1.54,0.51,0.00%,126,139,SAT,179736,31,3588057,0.24,3.14,0,0,0,0,0,1.54,2.46,4.31,4.93,8.93,
4878197,"Noah Clowney",4700,PF,BKN,WAS,159245,1401380,,25,10.33,4.59,1.31,1.81,1.41,0.64,0.48,11.64,14.92,16.23,1.12,5.9,3.2,1.21,5.62,3.09,2.47,8.82,3.02,19.75,19.75,20.49,4.36,0.00%,126,139,SAT,244975,33,4878197,13.99,27.89,0,0,0,13.91,17.45,20.49,23.53,28.08,29.85,38.45,
4878198,"Jalen Wilson",3000,PF,BKN,WAS,159245,1174884,,1,0.44,0.14,0.06,0.07,0.03,0.02,0.01,0.5,0.58,0.64,0.03,0.2,0.16,0.06,0.2,0.11,0.09,0.36,0.13,0.76,0.76,0.79,0.26,0.00%,126,139,SAT,90541,34,4878198,0.12,1.5,0,0,0,0.34,0.56,0.79,1.02,1.35,1.44,1.5,
8985497,"Drake Powell",3800,SG/SF,BKN,WAS,159245,1542179,,17,4.44,1.88,1.11,0.59,0.92,0.28,0.06,5.55,6.32,7.43,0.34,2.99,2,0.84,2,1.13,1.01,4,1.43,8.46,8.46,8.97,2.36,0.00%,126,139,SAT,503267,36,8985497,4.72,14.08,0,0,0,4.61,7.09,8.97,10.76,13.84,15.12,20.76,
8985498,"Egor Demin",4800,PG/SG,BKN,WAS,159245,1523978,,28,12.42,2.94,3.37,2.34,1.88,0.57,0.13,15.79,15.36,18.73,0.7,6.31,4.75,2.01,5.82,1.61,1.37,10.57,4.35,21.22,21.22,22.78,4.75,0.00%,126,139,SAT,455367,37,8985498,15.57,31.05,0,0,0,15.61,19.45,22.78,25.85,31.23,33.27,43,
8985499,"Danny Wolf",4900,PF/C,BKN,WAS,159245,1415928,,22,10.03,5.96,2.47,1.46,0.98,0.52,0.64,12.5,15.99,18.46,1.16,8.43,5.16,2.01,4.68,2.09,1.63,9.84,3.47,23.39,23.39,23.8,4.86,0.00%,126,139,SAT,247158,38,8985499,17.21,31.49,0,0,0,16.96,20.76,23.8,26.59,31.65,33.67,42.79,
8998169,"Ben Saraf",3500,PG,BKN,WAS,159245,1590554,,16,4.63,1.35,2.78,0.61,1.18,0.7,0.15,7.41,5.98,8.76,0.85,4.13,2.59,0.83,2.44,1.54,1.15,5.03,1.44,11.79,11.79,11.9,3.4,0.00%,126,139,SAT,622358,39,8998169,7,17.64,0,0,0,6.98,9.57,11.9,14.23,17.59,19.14,25.87,
8998170,"Nolan Traore",4200,PG,BKN,WAS,159245,1590550,,28,10.03,2.28,4.77,1.44,1.89,0.39,0.57,14.8,12.31,17.08,0.96,7.05,5.37,2.01,4.49,2.12,1.68,9.86,3.45,20.91,20.91,21.75,5.18,0.00%,126,139,SAT,622357,40,8998170,14.87,29.3,0,0,0,14.92,18.97,21.75,24.78,29.34,31.36,40.21,
409262,"Miles Bridges",5900,PF,CHA,ATL,159249,957479,,31.5,16.02,5.67,3.19,2.13,1.29,0.59,0.45,19.21,21.69,24.88,1.04,8.86,7.58,3.41,6.46,3.32,2.81,14.04,5.54,29.44,29.44,30.45,5.16,26.50%,136,135,SAT,75304,43,409262,22.74,39.18,17.98,17.98,17.92,22.52,27.12,30.45,33.78,39.41,41.45,50.41,
1115110,"Grant Williams",3600,PF,CHA,ATL,159249,949273,,18,6.35,3.85,1.26,1.07,0.91,0.37,0.21,7.61,10.2,11.46,0.58,5.11,2.08,0.89,3.26,1.69,1.36,5.34,1.96,13.69,13.69,14.29,3.97,1.15%,136,135,SAT,69933,44,1115110,8.96,20.33,1.38,1.38,1.59,8.83,11.69,14.29,16.63,20.27,22.08,30.4,
2439295,"LaMelo Ball",7700,PG,CHA,ATL,159249,1257420,,29,20.93,5.02,7.51,3.46,2.96,1.05,0.22,28.44,25.95,33.46,1.27,12.53,8.56,3.46,9.88,4.2,3.62,18.44,6.92,39.07,39.07,41.5,5.39,30.05%,136,135,SAT,161285,47,2439295,31.52,52.51,18.43,18.43,25.24,31.39,36.98,41.5,45.49,52.45,55.33,68.1,
2439366,"Josh Green",3800,SG/SF,CHA,ATL,159249,1193670,,16,3.64,1.46,1.18,0.7,0.8,0.66,0.21,4.82,5.1,6.28,0.87,2.64,1.26,0.58,1.73,0.52,0.39,2.99,1.28,8.97,8.97,8.93,2.35,0.05%,136,135,SAT,92617,48,2439366,4.56,14.29,0,0,0.01,4.6,7.04,8.93,11.09,14.34,15.97,22.73,
3005499,"Tre Mann",3700,PG/SG,CHA,ATL,159249,1175356,,9,4.57,1.04,1.08,0.67,0.68,0.1,0.02,5.65,5.61,6.69,0.12,2.12,2.47,1.01,1.91,0.68,0.56,4.38,1.68,7.12,7.12,7.73,2.09,0.05%,136,135,SAT,91333,50,3005499,3.22,13.4,0,0,0.01,3.09,5.57,7.73,9.89,13.3,14.84,21.33,
3588157,"Moussa Diabate",5300,C,CHA,ATL,159249,1324359,,30,9.68,9.99,2.69,0.02,1.17,0.41,1.14,12.37,19.67,22.36,1.55,12.68,5.78,3.7,0.1,3.54,2.22,5.88,3.72,29.18,29.18,29.05,5.48,30.27%,136,135,SAT,179227,52,3588157,21.96,37.19,20.15,20.15,21.73,21.79,25.94,29.05,32.16,37.09,39.17,48.5,
4878218,"Brandon Miller",7200,SF,CHA,ATL,159249,1401381,,33,22.78,5.53,3.28,3.64,3.31,1.63,0.7,26.06,28.31,31.59,2.33,8.81,9.48,4.23,9.96,3.96,3.41,19.44,7.87,38.02,38.02,39.49,5.48,33.78%,136,135,SAT,244988,53,4878218,30.23,50.04,36.19,36.19,25.55,30.06,35.41,39.49,43.31,50.19,52.74,65.48,
