PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID,OWNERSHIP
942480,"Cale Makar",,D,CAN,CZE,,1057102,1,1,,0.2774,0.7753,3.2588,0,0,0,0,0,0.1304,0.329,1.0527,0.4594,12.18,3.02,23.5,28.67,,942480,0.719,8.61,19.3,,,87789,1,8.84,12.75,1,
31733,"Connor McDavid",,C,CAN,CZE,,878032,1,1,,0.5128,0.986,3.9721,0,0,0,0,0,0.1383,0.3716,1.4988,0.5099,17.01,5.41,31.35,55.33,,31733,0.738,11.62,17.7,,,31006,1,11.2,16.19,2,
17128,"Tom Wilson",,W,CAN,CZE,,659860,1,,,0.2345,0.2221,1.8372,0,0,0,0,0,0,0,0.4566,0,6.02,0,14.28,2,,17128,2.307,5.29,13,,,30148,1,6.45,9.09,3,
35733,"Devon Toews",,D,CAN,CZE,,831460,1,,,0.0925,0.3623,1.7956,0,0,0,0,0,0,0,0.4548,0,5.44,0,13.38,15.67,,35733,0.76,4.18,16.3,,,83302,1,6.2,9,4,
6418266,"Macklin Celebrini",,C,CAN,CZE,,1497708,1,2,,0.3101,0.4512,3.0365,0,0,0,0,0,0.0545,0.0941,0.7613,0.1486,10.17,1.83,20.47,14,,6418266,0.552,7.05,14.6,,,449320,1,8.05,11.49,5,
16668,"Nathan MacKinnon",,C,CAN,CZE,,741404,2,1,,0.4372,0.726,4.329,0,0,0,0,0,0.1356,0.2682,1.1632,0.4038,15.54,5.22,28.29,35,,16668,0.613,10.36,16.4,,,30677,1,9.96,14.22,6,
31680,"Colton Parayko",,D,CAN,CZE,,680852,2,,,0.0647,0.1795,1.3645,0,0,0,0,0,0,0,0.2442,0,3.57,0,9.61,5,,31680,1.106,3.02,16.6,,,30565,1,4.72,6.68,7,
37779,"Nick Suzuki",,C,CAN,CZE,,1057111,2,,,0.1749,0.272,1.5135,0,0,0,0,0,0,0,0.4469,0,5.21,0,12.97,0.67,,37779,0.655,3.98,12.7,,,40159,1,6.06,8.66,8,
1279531,"Brandon Hagel",,W,CAN,CZE,,920496,2,,,0.3187,0.2995,2.3986,0,0,0,0,0,0,0,0.6182,0,8.19,0.65,17.51,7.33,,1279531,0.619,5.82,13.7,,,92058,1,7.28,10.21,9,
34600,"Josh Morrissey",,D,CAN,CZE,,741443,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,34600,0.724,0.36,21.3,,,30599,1,1.15,1.15,10,39
17172,"Mark Stone",,W,CAN,CZE,,556369,3,2,,0.2541,0.4013,1.878,0,0,0,0,0,0.0469,0.0883,0.6554,0.1352,7.21,0,16.23,2,,17172,0.474,5.31,13.8,,,31019,1,7.05,10.17,11,
14383,"Drew Doughty",,D,CAN,CZE,,456625,3,,,0.059,0.1844,1.1711,0,0,0,0,0,0,0,0.2434,0,3.21,0,9.19,2,,14383,0.816,2.67,16.2,,,29920,1,4.67,6.64,12,
14202,"Sidney Crosby",,C,CAN,CZE,,296786,3,1,,0.3364,0.5005,2.6003,0,0,0,0,0,0.1153,0.1745,0.8369,0.2898,9.82,1.06,20.65,20.33,,14202,0.728,7.13,15.3,,,30424,1,8.46,12.13,13,
