PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6400,PG/SG,ATL,MIA,159079,522878,-,28,18.61,3.57,3.15,2.63,2.06,0.86,0.49,21.76,22.18,25.33,1.35,6.72,9.32,4.3,6.75,2.76,2.1,16.07,6.93,29.61,29.61,30.79,4.81,1.16%,135,137,TUE,12451,1,17121,22.53,40.04,3.41,3.41,10.02,22.37,27.11,30.79,34.47,40.53,42.9,53.42,
18899,"Kristaps Porzingis",5700,PF/C,ATL,MIA,159079,877869,-,17,12.55,3.73,1.36,1.4,0.89,0.53,0.66,13.91,16.28,17.64,1.19,5.09,5.32,2.5,3.65,4.05,3.36,8.97,3.9,21.75,21.75,21.89,3.84,0.05%,135,137,TUE,12577,2,18899,15.43,29.38,0.18,0.18,1.51,15.19,18.8,21.89,24.72,29.36,31.16,39.92,
37814,"Luke Kennard",4000,SG/SF,ATL,MIA,159079,887661,-,20,7.02,2.55,1.77,1.47,0.56,0.64,0.1,8.79,9.57,11.34,0.74,4.32,1.83,0.97,3.27,0.76,0.68,5.1,2.44,14.4,14.4,14.8,3.7,0.05%,135,137,TUE,38279,3,37814,9.04,21.28,0.19,0.19,1.26,8.83,12.2,14.8,17.4,21.33,23.11,31.16,
1115445,"Nickeil Alexander-Walker",7100,SG/SF,ATL,MIA,159079,1067668,,34,18.85,3.41,3.86,3.04,2.64,1.16,0.53,22.71,22.26,26.12,1.69,7.27,7.87,3.38,7.86,3.51,2.98,15.73,6.42,31.16,31.16,32.5,4.58,1.52%,135,137,TUE,69666,4,1115445,24.07,42.27,4.69,4.69,7.66,24.03,28.58,32.5,36.42,42.24,45.02,55.9,
3005263,"Jalen Johnson",10200,PF,ATL,MIA,159079,1230356,,35,23.4,10.72,6.99,1.81,3.58,1.27,0.63,30.39,34.12,41.11,1.9,17.71,14.33,6.79,5.27,5.79,4.4,19.6,8.6,48.87,48.87,51.29,5.03,22.23%,135,137,TUE,165214,6,3005263,40.9,62.23,14.89,14.89,18.13,40.72,46.65,51.29,55.67,62.37,64.95,77.32,
3005340,"Corey Kispert",3800,SF/PF,ATL,MIA,159079,1077554,,18,8.36,2.28,1.39,1.54,0.71,0.57,0.03,9.75,10.64,12.03,0.6,3.67,2.83,1.33,4.07,1.35,1.07,6.9,2.87,14.27,14.27,14.91,3.92,0.53%,135,137,TUE,72585,7,3005340,9.13,21.49,0.27,0.27,2.08,9,12.34,14.91,17.48,21.59,23.14,31.36,
3587713,"Christian Koloko",3500,C,ATL,MIA,159079,1193674,,10,2.65,2.23,0.41,0.02,0.32,0.34,0.56,3.06,4.88,5.29,0.9,2.64,2.32,1.18,0.13,0.4,0.21,2.45,1.2,8.32,8.32,7.7,2.2,0.05%,135,137,TUE,92616,8,3587713,4.19,12.07,0,0,0,4.11,6.16,7.7,9.24,12.06,13.09,17.71,
3587993,"Dyson Daniels",7400,PG/SG,ATL,MIA,159079,1357745,,33,11.55,6.5,6.66,0.49,1.64,1.96,0.48,18.21,18.05,24.71,2.44,13.16,9.03,4.5,1.86,1.79,1.07,10.89,4.99,35.02,35.02,34.23,4.63,2.58%,135,137,TUE,195261,10,3587993,26.25,43.21,4.15,4.15,6.6,25.92,30.45,34.23,37.75,43.29,45.56,55.62,
4878163,"Mouhamed Gueye",4400,PF/C,ATL,MIA,159079,1325101,,23,6.16,5.78,2.24,0.72,0.48,1.32,0.62,8.4,11.94,14.18,1.94,8.02,3.49,1.42,2.67,1.7,1.14,6.16,2.14,21.8,21.8,20.77,4.72,0.34%,135,137,TUE,180180,12,4878163,14.88,27.42,1.57,1.57,6.04,14.73,18.11,20.77,23.19,27.29,28.98,37.19,
6412725,"Zaccharie Risacher",4300,SF,ATL,MIA,159079,1432544,,21,8.39,3.47,1,1.19,0.7,0.39,0.42,9.39,11.86,12.86,0.81,4.47,4.1,1.9,3.38,1.47,1.01,7.48,3.09,15.78,15.78,16.09,3.74,0.05%,135,137,TUE,368366,14,6412725,10.46,22.25,0.26,0.26,0.91,10.48,13.65,16.09,18.53,22.43,23.89,31.69,
