PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,OWNERSHIP
1844306,"Justin Jefferson",,WR,MIN,DET,147560,,0,0,0,0,0,0.02,0.04,0,9.02,5.87,60.03,0.38,14.46,21,,0,0.00%,XMAS,n/a,64507,296,1844306,14.44,11.5,60.07,0.38,0.04,0,60.07,0.38,0,7.75,24.7,,
3491545,"Jalen Nailor",,WR,MIN,DET,147560,,0,0,0,0,0,0.08,0.11,0,3.92,2.31,25.76,0.15,5.82,21,,0,0.00%,XMAS,n/a,50284,297,3491545,5.81,4.65,25.87,0.15,0.11,0,25.87,0.15,0,1.93,13.15,,
4687982,"Jordan Addison",,WR,MIN,DET,147560,,0,0,0,0,0,0,0,0,5.88,3.76,38.82,0.22,8.99,21,,0,0.00%,XMAS,n/a,122160,298,4687982,8.97,7.09,38.82,0.22,0,0,38.82,0.22,0,3.82,16.6,,
8223294,"Tai Felton",,WR,MIN,DET,147560,,0,0,0,0,0,0,0,0,0.24,0.14,1.1,0.01,0.31,21,,0,0.00%,XMAS,n/a,170295,299,8223294,0.31,0.24,1.1,0.01,0,0,1.1,0.01,0,0,0.62,,
8268530,"Myles Price",,WR,MIN,DET,147560,,0,0,0,0,0,0,0,0,0.06,0.03,0.34,0,0.06,21,,0,0.00%,XMAS,n/a,139762,300,8268530,0.07,0.05,0.34,0,0,0,0.34,0,0,0,0.12,,
982372,"Josh Oliver",,TE,MIN,DET,147560,,0,0,0,0,0,0,0,0,3.98,2.6,21.53,0.2,5.93,21,,0,0.00%,XMAS,n/a,42285,301,982372,5.91,4.61,21.53,0.2,0,0,21.53,0.2,0,2.03,13.88,,
8274772,"Ben Yurosek",,TE,MIN,DET,147560,,0,0,0,0,0,0,0,0,1.62,0.98,6.73,0.08,2.12,21,,0,0.00%,XMAS,n/a,132164,302,8274772,2.11,1.62,6.73,0.08,0,0,6.73,0.08,0,0,4.24,,
4687976,"Ben Sims",,TE,MIN,DET,147560,,0,0,0,0,0,0,0,0,0.56,0.36,2.62,0.03,0.8,21,,0,0.00%,XMAS,n/a,59493,303,4687976,0.79,0.61,2.62,0.03,0,0,2.62,0.03,0,0,1.6,,
6228290,"Will Reichard",,K,MIN,DET,147560,,0,0,0,0,0,0,0,0,0,0,0,0,8.71,21,,0,0.00%,XMAS,n/a,92332,304,6228290,8.71,8.71,0,0,0,0,0,0,7.35,3.3,15.66,,
18424,"Detroit Lions",,DST,DET,MIN,147560,,0,0,0,0,0,0,0,0,0,0,0,0,8.32,21,,0,0.00%,XMAS,n/a,8473,305,18424,8.32,8.32,0,0,0,0,0,0,0,3.87,14.15,,
6228327,"Drake Maye",6800,QB,NEP,NYJ,147570,,31.16,20.61,247.4,2.13,0.66,6.74,22.75,0.31,0,0,0,0,22.44,3.3,62.7,18.56,14.10%,MAIN,1286803,167238,306,6228327,22.38,22.38,270.15,2.44,270.15,2.44,22.75,0.31,0,14.61,32.43,16.44,
2861810,"Rhamondre Stevenson",5900,RB,NEP,NYJ,147570,,0,0,0,0,0,11.42,49.33,0.4,2.29,1.78,13.87,0.11,11.17,1.89,20.82,1.4,2.31%,MAIN,1174682,93719,307,2861810,11.11,10.22,63.2,0.51,49.33,0.4,63.2,0.51,0,5.55,20.37,1.52,
8223312,"TreVeyon Henderson",6400,RB,NEP,NYJ,147570,,0,0,0,0,0,11.66,54.68,0.41,3.28,2.6,19.57,0.15,13.48,2.11,32.14,4,5.41%,MAIN,1287837,169972,308,8223312,13.4,12.1,74.25,0.56,54.68,0.41,74.25,0.56,0,7.49,22.43,5.2,
1247803,"D'Ernest Johnson",4300,RB,NEP,NYJ,147570,,0,0,0,0,0,0.12,0.51,0,0.08,0.06,0.57,0,0.17,0.04,,0,0.00%,MAIN,839043,88158,309,1247803,0.17,0.14,1.08,0,0.51,0,1.08,0,0,0,0.34,,
21625,"Stefon Diggs",5800,WR,NEP,NYJ,147570,,0,0,0,0,0,0,0,0,6.99,4.75,61.07,0.62,14.99,2.58,48.5,24.89,25.03%,MAIN,694041,8606,310,21625,14.98,12.6,61.07,0.62,0,0,61.07,0.62,0,7.5,26.4,18.1,
4688003,"Demario Douglas",3500,WR,NEP,NYJ,147570,,0,0,0,0,0,0.05,0.21,0,2.6,1.79,21.09,0.23,5.29,1.51,16.9,3.76,1.72%,MAIN,1175693,142312,311,4688003,5.29,4.39,21.3,0.23,0.21,0,21.3,0.23,0,0.95,13.93,1.04,
8223311,"Kyle Williams",3300,WR,NEP,NYJ,147570,,0,0,0,0,0,0,0,0,4.68,2.61,39.65,0.41,9.13,2.77,42.96,15.11,7.64%,MAIN,1227157,145222,312,8223311,9.12,7.81,39.65,0.41,0,0,39.65,0.41,0,3.13,18.64,7.9,
8250990,"Efton Chism",3000,WR,NEP,NYJ,147570,,0,0,0,0,0,0,0,0,1.4,0.85,11.55,0.12,2.72,0.91,8.38,0.6,0.34%,MAIN,1216288,174267,313,8250990,2.72,2.29,11.55,0.12,0,0,11.55,0.12,0,0,7.48,0.16,
35576,"Austin Hooper",2500,TE,NEP,NYJ,147570,,0,0,0,0,0,0,0,0,2.82,1.96,22.35,0.14,5.03,2.01,21.02,1.22,0.57%,MAIN,739424,26421,314,35576,5.01,4.03,22.35,0.14,0,0,22.35,0.14,0,1.07,11.99,2.46,
35634,"Hunter Henry",4500,TE,NEP,NYJ,147570,,0,0,0,0,0,0,0,0,6.65,4.49,54.41,0.34,12.18,2.71,42.28,10.72,14.37%,MAIN,744425,26343,315,35634,12.14,9.89,54.41,0.34,0,0,54.41,0.34,0,5.75,21.46,16.08,
8250986,"CJ Dippre",2500,TE,NEP,NYJ,147570,,0,0,0,0,0,0,0,0,0.05,0.03,0.35,0,0.06,0.02,,0.01,0.00%,MAIN,1287588,170278,316,8250986,0.07,0.05,0.35,0,0,0,0.35,0,0,0,0.12,,
8228810,"Andres Borregales",,K,NEP,NYJ,147570,,0,0,0,0,0,0,0,0,0,0,0,0,8.72,21,,0,0.00%,MAIN,1286810,,317,8228810,8.72,8.72,0,0,0,0,0,0,7.85,4.09,14.73,,
18435,"New York Jets",2000,DST,NYJ,NEP,147570,,0,0,0,0,0,0,0,0,0,0,0,0,4.73,2.37,33.06,3.67,4.88%,MAIN,352,8484,318,18435,4.73,4.73,0,0,0,0,0,0,0,-0.03,10.41,3.62,
8223333,"Tyler Shough",5200,QB,NOS,TEN,147565,,32.87,21.86,218.15,1.4,0.55,6.42,21.05,0.2,0,0,0,0,17.25,3.32,60.26,5.66,5.98%,MAIN,1110306,63768,319,8223333,17.2,17.2,239.2,1.6,239.2,1.6,21.05,0.2,0,10.9,25.25,7.92,
4916613,"Evan Hull",4400,RB,NOS,TEN,147565,,0,0,0,0,0,4.07,15.6,0.11,2.03,1.43,10.61,0.1,5.3,1.2,6.82,0.15,0.24%,MAIN,1173266,139141,320,4916613,5.29,4.57,26.21,0.21,15.6,0.11,26.21,0.21,0,1.84,12.78,0.42,
6227937,"Audric Estime",4900,RB,NOS,TEN,147565,,0,0,0,0,0,7.1,29.03,0.2,2.85,2.14,15.88,0.14,8.64,1.76,17.38,0.72,1.32%,MAIN,1321291,169315,321,6227937,8.61,7.54,44.91,0.34,29.03,0.2,44.91,0.34,0,3.97,17.09,1.34,
3491988,"Chris Olave",7200,WR,NOS,TEN,147565,,0,0,0,0,0,0,0,0,9.41,6.46,70.69,0.49,16.92,2.35,38.3,12.32,14.37%,MAIN,1122592,47332,322,3491988,16.89,13.66,70.69,0.49,0,0,70.69,0.49,0,9.56,28.29,10.7,
