"First Name","Last Name","Team","Matchup","PTS","REB","AST","3PM","BLK","STL","TO","PRA","PR","PA","DFS","Last Updated"
"Moussa","Diabate","CHA","CHA vs. CLE","10.03","9.01","1.61","0.00","0.92","0.84","1.16","20.66","19.05","11.65","27.81","2025-12-22T22:07:42Z"
"Jay","Huff","IND","IND vs. BOS","9.85","4.89","1.27","1.97","1.89","0.36","0.92","16.01","14.74","11.12","23.83","2025-12-22T22:07:41Z"
"Aaron","Wiggins","OKC","MEM vs. OKC","9.79","3.25","1.74","1.97","0.36","0.66","0.90","14.79","13.04","11.53","19.94","2025-12-22T22:07:43Z"
"Kenrich","Williams","OKC","MEM vs. OKC","9.78","4.95","2.31","1.70","0.20","0.84","0.98","17.04","14.73","12.09","22.86","2025-12-22T22:07:43Z"
"Herbert","Jones","NOP","DAL vs. NOP","9.66","3.29","2.31","1.19","0.25","1.58","1.30","15.26","12.95","11.97","22.15","2025-12-22T22:07:43Z"
"Sam","Hauser","BOS","IND vs. BOS","9.56","4.52","1.34","2.18","0.32","0.53","0.63","15.43","14.09","10.90","20.35","2025-12-22T22:07:41Z"
"Branden","Carlson","OKC","MEM vs. OKC","9.45","4.52","1.81","2.05","1.36","0.41","0.68","15.79","13.98","11.26","22.73","2025-12-22T22:07:43Z"
"Jusuf","Nurkic","UTA","UTA vs. DEN","9.45","7.88","3.45","0.45","0.39","1.00","1.56","20.78","17.33","12.89","28.27","2025-12-22T22:07:42Z"
"Jaden","Ivey","DET","DET vs. POR","9.41","2.20","2.37","1.01","0.15","0.76","1.71","13.98","11.61","11.78","18.90","2025-12-22T22:07:42Z"
"Bruce","Brown","DEN","UTA vs. DEN","9.34","4.36","2.66","0.90","0.48","1.07","0.89","16.36","13.70","12.00","22.77","2025-12-22T22:07:42Z"
"Isaiah","Stewart","DET","DET vs. POR","9.29","5.85","1.56","0.91","2.17","0.46","1.57","16.70","15.14","10.85","25.44","2025-12-22T22:07:42Z"
"Moses","Moody","GSW","ORL vs. GSW","8.60","3.03","1.41","1.52","0.48","0.80","0.88","13.03","11.62","10.00","18.26","2025-12-22T22:07:41Z"
"Quinten","Post","GSW","ORL vs. GSW","8.58","5.09","1.70","1.75","0.68","0.70","0.92","15.37","13.68","10.28","21.61","2025-12-22T22:07:41Z"
"Jose","Alvarado","NOP","DAL vs. NOP","8.40","2.46","3.57","1.40","0.16","1.01","1.45","14.43","10.86","11.97","20.58","2025-12-22T22:07:42Z"
"Svi","Mykhailiuk","UTA","UTA vs. DEN","8.37","2.21","1.99","1.68","0.20","0.44","0.89","12.56","10.57","10.35","16.67","2025-12-22T22:07:42Z"
"Jonas","Valanciunas","DEN","UTA vs. DEN","8.34","4.80","1.45","0.09","0.57","0.28","0.77","14.58","13.13","9.78","18.64","2025-12-22T22:07:42Z"
"Cason","Wallace","OKC","MEM vs. OKC","8.30","3.31","2.64","1.42","0.33","1.97","0.89","14.25","11.61","10.94","22.15","2025-12-22T22:07:43Z"
"Kentavious","Caldwell-Pope","MEM","MEM vs. OKC","8.26","2.76","3.02","1.44","0.31","1.06","1.40","14.04","11.03","11.28","20.40","2025-12-22T22:07:43Z"
"Tristan","da Silva","ORL","ORL vs. GSW","8.22","3.47","1.30","1.21","0.19","0.55","0.86","12.99","11.69","9.52","17.02","2025-12-22T22:07:41Z"
"Quenton","Jackson","IND","IND vs. BOS","8.10","2.31","2.43","0.85","0.16","0.75","0.69","12.84","10.41","10.53","17.23","2025-12-22T22:07:41Z"
"Tre","Mann","CHA","CHA vs. CLE","8.00","2.38","2.72","1.20","0.12","0.71","1.37","13.10","10.38","10.71","17.99","2025-12-22T22:07:42Z"
"Josh","Minott","BOS","IND vs. BOS","7.97","4.14","1.11","1.42","0.56","0.87","0.72","13.22","12.11","9.08","18.75","2025-12-22T22:07:41Z"
"Sidy","Cissoko","POR","DET vs. POR","7.92","3.62","2.04","0.94","0.41","0.74","1.69","13.58","11.54","9.96","19.11","2025-12-22T22:07:42Z"
"Daniel","Gafford","DAL","DAL vs. NOP","7.87","4.12","0.98","0.00","1.48","0.39","0.99","12.97","11.99","8.85","18.72","2025-12-22T22:07:43Z"
"Jarace","Walker","IND","IND vs. BOS","7.70","3.60","1.70","1.36","0.29","0.30","1.30","12.99","11.29","9.39","17.25","2025-12-22T22:07:41Z"
"Draymond","Green","GSW","ORL vs. GSW","7.69","5.66","4.47","1.28","0.98","1.22","2.64","17.82","13.34","12.16","27.83","2025-12-22T22:07:41Z"
"Luguentz","Dort","OKC","MEM vs. OKC","7.65","3.53","1.05","1.97","0.38","0.95","0.62","12.23","11.18","8.70","17.58","2025-12-22T22:07:43Z"
"Spencer","Jones","DEN","UTA vs. DEN","7.25","3.04","1.30","0.78","0.46","1.22","0.83","11.58","10.29","8.55","17.16","2025-12-22T22:07:42Z"
"De'Anthony","Melton","GSW","ORL vs. GSW","7.22","2.02","1.74","1.24","0.23","1.06","0.82","10.98","9.24","8.96","15.98","2025-12-22T22:07:41Z"
"Max","Christie","DAL","DAL vs. NOP","7.20","2.27","1.23","1.43","0.21","0.39","0.70","10.70","9.47","8.43","14.17","2025-12-22T22:07:43Z"
"Kris","Murray","POR","DET vs. POR","7.07","4.69","1.50","0.85","0.58","1.20","1.28","13.26","11.76","8.57","19.81","2025-12-22T22:07:42Z"
"Jase","Richardson","ORL","ORL vs. GSW","7.00","1.63","2.20","1.02","0.00","0.51","0.89","10.83","8.63","9.20","14.30","2025-12-22T22:07:41Z"
"Karlo","Matkovic","NOP","DAL vs. NOP","6.92","3.67","0.98","0.49","0.71","0.31","0.70","11.57","10.59","7.90","15.61","2025-12-22T22:07:43Z"
"Robert","Williams","POR","DET vs. POR","6.86","6.81","1.17","0.12","1.72","0.89","1.07","14.84","13.67","8.03","22.93","2025-12-22T22:07:42Z"
"Isaiah","Jackson","IND","IND vs. BOS","6.72","5.30","0.92","0.00","0.92","0.39","0.91","12.94","12.02","7.63","17.79","2025-12-22T22:07:41Z"
"Lonzo","Ball","CLE","CHA vs. CLE","6.56","3.85","3.73","1.55","0.35","1.31","1.17","14.13","10.41","10.29","21.65","2025-12-22T22:07:41Z"
"Dean","Wade","CLE","CHA vs. CLE","6.42","4.29","1.82","1.50","0.38","0.91","0.37","12.53","10.71","8.24","18.04","2025-12-22T22:07:42Z"
"Javonte","Green","DET","DET vs. POR","6.37","3.09","1.01","0.69","0.26","1.95","0.74","10.47","9.46","7.38","16.87","2025-12-22T22:07:42Z"
"Olivier-Maxence","Prosper","MEM","MEM vs. OKC","6.32","3.34","1.32","0.32","0.09","0.66","0.69","10.99","9.67","7.64","14.50","2025-12-22T22:07:43Z"
"Tyus","Jones","ORL","ORL vs. GSW","6.19","1.48","3.00","1.43","0.09","0.81","0.55","10.67","7.67","9.19","15.33","2025-12-22T22:07:41Z"
