PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
13296,"Nikola Vucevic",7600,C,BOS,MIA,159214,457598,-,25,13.39,6.71,2.86,1.29,1.02,0.53,0.64,16.25,20.1,22.96,1.17,9.57,8.04,4.13,3.48,1.55,1.26,11.52,5.42,28.22,28.22,28.66,3.77,0.49%,125,137,FRI,12334,1,13296,21.44,37.25,0.33,0.33,0.72,21.37,25.64,28.66,31.93,37.21,39.22,48.77,
35181,"Jaylen Brown",9700,SF,BOS,MIA,159214,883436,-,36,29.26,8.32,4.02,2.5,3.76,0.95,0.39,33.28,37.58,41.6,1.34,12.34,16.54,7.82,7.16,8.07,6.12,23.7,10.32,45.53,45.53,48.24,4.97,23.98%,125,137,FRI,28025,2,35181,38.35,58.54,21.16,21.16,15.47,38.29,44.01,48.24,52.47,58.93,61.42,72.36,
37858,"Derrick White",8200,PG/SG,BOS,MIA,159214,796009,-,35,16.1,4.3,6.15,2.82,1.74,0.73,0.92,22.25,20.4,26.55,1.65,10.45,6.48,2.66,7.9,2.63,2.31,14.38,5.48,33.7,33.7,34.66,4.23,5.45%,125,137,FRI,38299,4,37858,25.99,44.59,4.46,4.46,3.95,25.81,30.87,34.66,38.45,44.78,47.31,57.18,
2439093,"Payton Pritchard",7200,PG,BOS,MIA,159214,945610,,33,18.4,3.63,5.3,3.14,1.06,0.53,0.18,23.7,22.03,27.33,0.71,8.93,7.59,3.65,8.24,1.94,1.67,15.83,6.79,31.78,31.78,33.41,4.64,11.41%,125,137,FRI,73477,5,2439093,24.86,43.37,11.6,11.6,8.69,24.67,29.56,33.41,37.26,43.43,46,56.54,
3005208,"Luka Garza",4400,C,BOS,MIA,159214,1061057,,12,5.89,2.63,0.72,0.57,0.32,0.43,0.34,6.61,8.52,9.24,0.77,3.35,2.63,1.47,1.42,1.62,1.23,4.05,2.04,12.12,12.12,11.92,2.71,0.37%,125,137,FRI,72919,6,3005208,7.3,17.26,0.02,0.02,0.01,7.26,9.85,11.92,13.73,17.36,18.66,24.88,
3005606,"Neemias Queta",5900,C,BOS,MIA,159214,1142902,,21,8.62,6.8,1.54,0,0.8,0.81,1.32,10.16,15.42,16.96,2.13,8.34,5.7,3.56,0,2.17,1.5,5.7,3.56,24.68,24.68,23.35,3.96,0.27%,125,137,FRI,86307,7,3005606,17.24,30.37,0.66,0.66,1.28,17.19,20.53,23.35,26.17,30.28,32.07,40.54,
3022247,"Sam Hauser",5100,SF/PF,BOS,MIA,159214,922378,,26,10.17,3.93,1.44,2.92,0.44,0.62,0.31,11.61,14.1,15.54,0.93,5.37,1.33,0.59,7.16,0.24,0.23,8.49,3.51,19.4,19.4,20.34,3.99,1.07%,125,137,FRI,72761,8,3022247,13.18,28.55,3.18,3.18,3.77,13.04,17.21,20.34,23.47,28.68,30.77,41.46,
4878181,"Jordan Walsh",3600,PF,BOS,MIA,159214,1401388,,11,3.44,1.96,0.43,0.55,0.32,0.3,0.21,3.87,5.4,5.83,0.51,2.39,1.53,0.64,1.63,0.69,0.51,3.16,1.19,7.65,7.65,7.67,2.13,0.32%,125,137,FRI,245001,9,4878181,3.76,12.26,0.02,0.02,0,3.7,5.82,7.67,9.52,12.17,13.75,19.31,
6412744,"Baylor Scheierman",4000,SG/SF,BOS,MIA,159214,1177129,,18,5.72,4.48,1.43,1.4,0.81,0.6,0.08,7.15,10.2,11.63,0.68,5.91,1.39,0.55,3.75,0.53,0.43,5.14,1.95,14.47,14.47,15.12,3.78,2.92%,125,137,FRI,90655,10,6412744,9.56,21.57,4.77,4.77,1.29,9.38,12.51,15.12,17.73,21.64,23.46,31.28,
8998149,"Hugo Gonzalez",3800,SG/SF,BOS,MIA,159214,1590553,,17,3.96,3.58,0.68,0.61,0.56,0.81,0.15,4.64,7.54,8.22,0.96,4.26,2.05,0.92,1.76,0.56,0.27,3.81,1.53,11.6,11.6,11.4,3,0.52%,125,137,FRI,622359,11,8998149,6.87,16.98,0.64,0.64,0.07,6.63,9.28,11.4,13.35,16.97,18.29,24.66,
