"First Name","Last Name","Team","Matchup","PTS","REB","AST","3PM","BLK","STL","TO","PRA","PR","PA","DFS","Last Updated"
"Tari","Eason","HOU","HOU vs. SAC","8.36","3.65","1.06","1.16","0.34","0.81","0.98","13.07","12.01","9.42","17.90","2025-12-22T02:53:36Z"
"Josh","Okogie","HOU","HOU vs. SAC","8.17","3.37","1.33","1.24","0.39","1.42","0.82","12.87","11.54","9.50","19.04","2025-12-22T02:53:36Z"
"Ziaire","Williams","BKN","TOR vs. BKN","8.12","2.99","1.18","1.61","0.54","0.78","1.10","12.29","11.10","9.30","17.62","2025-12-21T22:54:59Z"
"Vit","Krejci","ATL","CHI vs. ATL","7.98","2.45","1.85","2.04","0.32","0.73","0.79","12.28","10.43","9.83","17.33","2025-12-21T20:39:15Z"
"Ochai","Agbaji","TOR","TOR vs. BKN","7.89","3.35","1.23","1.07","0.31","0.81","0.56","12.46","11.24","9.11","16.97","2025-12-21T22:55:00Z"
"Jalen","Smith","CHI","CHI vs. ATL","7.83","5.18","1.33","1.18","0.69","0.27","0.65","14.34","13.01","9.16","19.14","2025-12-21T20:39:15Z"
"Tyrese","Martin","BKN","TOR vs. BKN","7.76","2.59","2.42","1.27","0.13","0.68","1.12","12.77","10.35","10.18","17.44","2025-12-21T22:54:59Z"
"Luke","Kornet","SAS","SAS vs. WAS","7.67","6.41","1.64","0.00","1.20","0.50","0.51","15.72","14.08","9.31","21.80","2025-12-21T23:49:49Z"
"Jamal","Shead","TOR","TOR vs. BKN","7.46","2.16","5.99","1.26","0.09","1.44","1.46","15.60","9.62","13.44","23.56","2025-12-21T22:55:00Z"
"Bones","Hyland","MIN","MIL vs. MIN","7.17","1.56","2.34","1.31","0.12","0.66","0.94","11.08","8.73","9.51","15.32","2025-12-21T23:49:50Z"
"Isaac","Okoro","CHI","CHI vs. ATL","7.10","2.34","0.93","1.04","0.29","0.74","0.58","10.37","9.44","8.03","14.29","2025-12-21T20:39:15Z"
"Zach","Collins","CHI","CHI vs. ATL","7.08","5.03","2.07","0.64","0.50","0.49","0.97","14.19","12.12","9.16","19.25","2025-12-21T20:39:15Z"
"Nique","Clifford","SAC","HOU vs. SAC","6.92","3.44","1.54","0.94","0.30","0.71","1.08","11.90","10.36","8.46","16.54","2025-12-22T02:53:36Z"
"Dru","Smith","MIA","MIA vs. NYK","6.86","2.68","3.26","1.04","0.41","1.64","1.14","12.81","9.55","10.13","20.30","2025-12-21T22:55:00Z"
"Collin","Murray-Boyles","TOR","TOR vs. BKN","6.51","3.01","1.57","0.50","0.27","0.57","1.04","11.09","9.52","8.08","15.07","2025-12-21T22:55:00Z"
"Day'Ron","Sharpe","BKN","TOR vs. BKN","6.40","5.64","1.80","0.24","0.89","0.72","1.31","13.84","12.04","8.20","20.17","2025-12-21T22:54:59Z"
"Asa","Newell","ATL","CHI vs. ATL","5.74","1.61","0.70","0.70","0.20","0.33","0.41","8.05","7.35","6.43","10.42","2025-12-21T20:39:15Z"
"Ja'Kobe","Walter","TOR","TOR vs. BKN","5.67","2.18","1.11","1.00","0.13","0.89","0.68","8.97","7.86","6.79","12.95","2025-12-21T22:55:00Z"
"Gradey","Dick","TOR","TOR vs. BKN","5.63","1.83","0.79","0.83","0.07","0.60","0.56","8.25","7.46","6.42","11.14","2025-12-21T22:55:00Z"
"Precious","Achiuwa","SAC","HOU vs. SAC","5.61","3.18","0.62","0.11","0.47","0.67","0.45","9.42","8.79","6.24","13.09","2025-12-22T02:53:36Z"
"Steven","Adams","HOU","HOU vs. SAC","5.57","6.96","1.60","0.00","0.74","0.90","0.99","14.13","12.53","7.17","20.45","2025-12-22T02:53:36Z"
"Mitchell","Robinson","NYK","MIA vs. NYK","5.51","8.63","0.84","0.00","1.22","1.14","0.83","14.98","14.14","6.36","22.71","2025-12-21T22:55:00Z"
"Tyler","Kolek","NYK","MIA vs. NYK","4.79","1.71","4.35","0.72","0.21","0.61","1.19","10.85","6.50","9.14","16.05","2025-12-21T22:55:00Z"
"Keon","Ellis","SAC","HOU vs. SAC","4.67","1.45","0.92","1.04","0.33","1.31","0.45","7.05","6.12","5.60","11.89","2025-12-22T02:53:36Z"
"Jericho","Sims","MIL","MIL vs. MIN","4.62","5.60","1.11","0.00","0.41","0.31","1.15","11.33","10.22","5.73","15.30","2025-12-21T23:49:50Z"
"Luke","Kennard","ATL","CHI vs. ATL","4.56","1.47","1.73","0.78","0.05","0.59","0.62","7.77","6.04","6.29","10.99","2025-12-21T20:39:15Z"
"Jalen","Wilson","BKN","TOR vs. BKN","4.53","1.28","0.76","0.95","0.04","0.29","0.42","6.57","5.81","5.29","8.62","2025-12-21T22:55:00Z"
"Kasparas","Jakucionis","MIA","MIA vs. NYK","4.52","1.37","1.11","0.66","0.12","0.32","0.53","7.00","5.89","5.63","9.37","2025-12-21T22:55:00Z"
"Jamir","Watkins","WAS","SAS vs. WAS","4.34","3.15","0.58","0.56","0.31","0.12","0.56","8.06","7.49","4.91","10.55","2025-12-21T23:49:49Z"
"Dylan","Cardwell","SAC","HOU vs. SAC","4.07","4.36","0.28","0.00","2.36","0.85","1.19","8.71","8.43","4.35","16.96","2025-12-22T02:53:36Z"
"Aaron","Holiday","HOU","HOU vs. SAC","4.01","0.72","0.76","0.87","0.11","0.14","0.42","5.49","4.73","4.77","7.19","2025-12-22T02:53:36Z"
"Mike","Conley","MIN","MIL vs. MIN","3.83","1.59","2.82","0.76","0.10","0.37","0.50","8.24","5.42","6.65","11.62","2025-12-21T23:49:50Z"
"Mouhamed","Gueye","ATL","CHI vs. ATL","3.68","2.33","0.65","0.28","0.44","0.41","0.33","6.66","6.01","4.33","9.57","2025-12-21T20:39:15Z"
"Patrick","Williams","CHI","CHI vs. ATL","3.68","1.49","0.82","0.71","0.15","0.43","0.53","5.99","5.17","4.50","8.57","2025-12-21T20:39:15Z"
"Malaki","Branham","WAS","SAS vs. WAS","3.28","0.82","0.71","0.45","0.01","0.13","0.46","4.81","4.10","3.99","6.11","2025-12-21T23:49:49Z"
"Jaylen","Clark","MIN","MIL vs. MIN","2.87","1.31","0.44","0.40","0.06","0.56","0.22","4.61","4.18","3.30","6.70","2025-12-21T23:49:50Z"
"Lindy","Waters","SAS","SAS vs. WAS","2.68","1.24","0.56","0.83","0.09","0.39","0.21","4.48","3.92","3.24","6.54","2025-12-21T23:49:49Z"
"Terrence","Shannon","MIN","MIL vs. MIN","2.16","0.72","0.40","0.25","0.04","0.12","0.23","3.27","2.88","2.55","4.22","2025-12-21T23:49:50Z"
"Gary","Harris","MIL","MIL vs. MIN","2.15","1.50","0.90","0.52","0.19","0.70","0.31","4.55","3.64","3.05","7.56","2025-12-21T23:49:49Z"
"Anthony","Gill","WAS","SAS vs. WAS","2.00","0.88","0.28","0.14","0.03","0.12","0.20","3.16","2.88","2.29","3.99","2025-12-21T23:49:49Z"
"Guerschon","Yabusele","NYK","MIA vs. NYK","1.89","1.07","0.35","0.28","0.05","0.17","0.22","3.31","2.96","2.24","4.44","2025-12-21T22:55:00Z"
