PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
18429,"Kansas City Chiefs",,DST,KCC,TEN,147548,,0,0,0,0,0,0,0,0,0,0,0,0,7.95,7.95,7.95,0,0,0,0,0,0,0,3.36,13.39,7.04,46.9,4.1,2.98%,MAIN,339,8478,437,18429,
21686,"Marcus Mariota",,QB,WAS,PHI,147544,,30.07,19.04,199.35,1.16,0.86,6.38,27.63,0.18,0,0,0,0,15.7,15.65,15.65,226.98,1.34,226.98,1.34,27.63,0.18,0,9.62,23.44,,,0,0.00%,SAT,607843,8697,438,21686,
37006,"Jeremy McNichols",,RB,WAS,PHI,147544,,0,0,0,0,0,3.53,16.91,0.11,2.26,1.68,11.79,0.06,5.55,5.52,4.68,28.7,0.17,16.91,0.11,28.7,0.17,0,1.99,12.41,,,0,0.00%,SAT,837594,33426,439,37006,
4688250,"Chris Rodriguez",,RB,WAS,PHI,147544,,0,0,0,0,0,9.96,47.86,0.34,0.9,0.61,4.38,0.02,8.03,8,7.69,52.24,0.36,47.86,0.34,52.24,0.36,0,4.14,16.91,,,0,0.00%,SAT,1113403,55991,440,4688250,
8229072,"Jacory Croskey-Merritt",,RB,WAS,PHI,147544,,0,0,0,0,0,4.75,23.19,0.16,1.17,0.81,5.82,0.03,4.82,4.79,4.38,29.01,0.19,23.19,0.16,29.01,0.19,0,1.83,12.31,,,0,0.00%,SAT,1191186,144725,441,8229072,
982511,"Terry McLaurin",,WR,WAS,PHI,147544,,0,0,0,0,0,0,0,0,8.08,5.06,59.52,0.32,13.27,13.24,10.71,59.52,0.32,0,0,59.52,0.32,0,6.75,23.3,,,0,0.00%,SAT,836116,47334,442,982511,
982845,"Deebo Samuel",,WR,WAS,PHI,147544,,0,0,0,0,0,1.32,7.07,0.04,6.79,4.44,45.02,0.27,11.63,11.61,9.39,52.09,0.31,7.07,0.04,52.09,0.31,0,5.82,20.26,,,0,0.00%,SAT,835749,53421,443,982845,
8229073,"Jaylin Lane",,WR,WAS,PHI,147544,,0,0,0,0,0,0,0,0,1.62,0.88,10.86,0.06,2.32,2.32,1.88,10.86,0.06,0,0,10.86,0.06,0,0,6.38,,,0,0.00%,SAT,1214689,124669,444,8229073,
35415,"Chris Moore",,WR,WAS,PHI,147544,,0,0,0,0,0,0,0,0,0.89,0.58,6.75,0.04,1.49,1.49,1.2,6.75,0.04,0,0,6.75,0.04,0,0,2.98,,,0,0.00%,SAT,606551,26320,445,35415,
3491779,"Treylon Burks",,WR,WAS,PHI,147544,,0,0,0,0,0,0,0,0,2.48,1.44,16.34,0.1,3.67,3.66,2.94,16.34,0.1,0,0,16.34,0.1,0,0,9.93,,,0,0.00%,SAT,1172024,92317,446,3491779,
2862096,"John Bates",,TE,WAS,PHI,147544,,0,0,0,0,0,0,0,0,2.86,2.01,17.58,0.12,4.47,4.46,3.45,17.58,0.12,0,0,17.58,0.12,0,0.56,10.9,,,0,0.00%,SAT,944038,55153,447,2862096,
6228652,"Ben Sinnott",,TE,WAS,PHI,147544,,0,0,0,0,0,0,0,0,2.72,1.89,16.54,0.12,4.25,4.24,3.29,16.54,0.12,0,0,16.54,0.12,0,0.28,11.12,,,0,0.00%,SAT,1228920,143148,448,6228652,
1844430,"Lawrence Cager",,TE,WAS,PHI,147544,,0,0,0,0,0,0,0,0,0.31,0.21,1.74,0.01,0.44,0.44,0.33,1.74,0.01,0,0,1.74,0.01,0,0,0.88,,,0,0.00%,SAT,880123,52406,449,1844430,
4688162,"Jake Moody",,K,WAS,PHI,147544,,0,0,0,0,0,0,0,0,0,0,0,0,7.46,7.46,7.46,0,0,0,0,0,0,6.49,2.72,13.91,,,0,0.00%,SAT,1130237,139487,450,4688162,
18437,"Philadelphia Eagles",,DST,PHI,WAS,147544,,0,0,0,0,0,0,0,0,0,0,0,0,7.89,7.89,7.89,0,0,0,0,0,0,0,2.83,14.86,,,0,0.00%,SAT,354,8486,451,18437,
