,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Jonathan Kuminga,GSW,ORL,F,10.00000,5.25692,1.84510,0.66741,0.30668,0.14216,0.55566,1.95854,4.16877,47.0,0.36244,1.12772,32.1,0.97739,1.34806,72.5,0.47693,1.36817
Jock Landale,MEM,OKC,C,28.00000,11.71698,8.35733,2.52236,0.54171,0.69179,2.05324,4.45355,9.16028,48.6,0.69471,2.66931,26.0,2.11518,2.89163,73.1,3.41242,4.94490
Chaz Lanier,DET,POR,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Malevy Leons,GSW,ORL,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Caris LeVert,DET,POR,G,21.00000,10.46919,2.96682,2.71353,0.91711,0.29869,1.19809,3.54207,8.31188,42.6,1.51913,4.23574,35.9,1.86591,2.42413,77.0,0.69162,2.27520
Damian Lillard,POR,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Dereck Lively,DAL,NOP,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Chris Livingston,CLE,CHA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kevon Looney,NOP,DAL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Caleb Love,POR,DET,G,9.00000,4.53154,1.34960,1.22654,0.27422,0.01430,0.53307,1.63243,4.89891,33.3,0.76332,2.90776,26.3,0.50336,0.59115,85.1,0.38339,0.96622
Kevin Love,UTA,DEN,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tre Mann,CHA,CLE,G,18.00000,8.53001,2.84487,2.75036,0.64084,0.15151,0.94151,3.13855,7.41243,42.3,1.20450,3.36011,35.8,1.04840,1.33002,78.8,0.47757,2.36730
Lauri Markkanen,UTA,DEN,F,33.00000,20.40517,6.54016,2.25509,0.77290,0.51753,1.51392,6.77036,14.76099,45.9,2.50007,7.11234,35.2,4.36439,4.97189,87.8,1.44822,5.09194
Naji Marshall,DAL,NOP,F,32.00000,13.89463,6.30407,3.13459,1.14904,0.31301,1.42542,5.11263,10.64383,48.0,1.50936,4.62462,32.6,2.16000,2.78294,77.6,1.51655,4.78751
Caleb Martin,DAL,NOP,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jahmai Mashack,MEM,OKC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Garrison Mathews,IND,BOS,G,10.00000,3.94627,1.30825,0.44167,0.27665,0.14067,0.25955,1.16372,2.96577,39.2,0.85590,2.33554,36.6,0.76294,0.94054,81.1,0.24933,1.05892
Bennedict Mathurin,IND,BOS,F,33.00000,18.42662,7.01467,2.07970,0.66855,0.27743,2.04044,5.48721,13.26055,41.4,1.71035,5.10710,33.5,5.74185,6.91926,83.0,1.90437,5.11029
Karlo Matkovic,NOP,DAL,C,15.00000,6.49146,4.27502,1.25054,0.56730,0.66442,0.48223,2.68026,5.08653,52.7,0.37958,1.15531,32.9,0.75137,1.02673,73.2,1.12311,3.15191
T.J. McConnell,IND,BOS,G,17.00000,7.55218,2.67603,3.90117,0.77203,0.13560,1.34807,3.15629,6.86299,46.0,0.41643,1.15384,36.1,0.82317,1.04160,79.0,0.65534,2.02069
Bryce McGowens,NOP,DAL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Liam McNeeley,CHA,CLE,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
De'Anthony Melton,GSW,ORL,G,16.00000,6.26684,2.45757,1.43302,0.91288,0.28726,1.17469,2.21566,5.38908,41.1,1.02044,2.82731,36.1,0.81509,1.00973,80.7,0.51823,1.93934
Sam Merrill,CLE,CHA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Brandon Miller,CHA,CLE,F,34.00000,21.36923,5.58881,3.97709,1.17284,0.62804,2.67484,7.35340,17.05301,43.1,3.38962,9.02729,37.5,3.27280,3.84698,85.1,0.81382,4.77499
Josh Minott,BOS,IND,F,14.00000,5.52538,4.28384,0.86393,0.69818,0.36277,0.25463,1.91726,4.11211,46.6,0.52664,1.68174,31.3,1.16422,1.49576,77.8,1.71827,2.56557
Yves Missi,NOP,DAL,C,7.00000,2.60165,2.82160,0.39082,0.15894,0.28750,0.28091,1.04088,1.85575,56.1,0.02248,0.07862,28.6,0.49740,0.76871,64.7,0.81841,2.00320
Ajay Mitchell,OKC,MEM,G,25.00000,12.33964,3.98695,3.03549,1.34413,0.21499,1.83146,4.61096,9.82135,46.9,1.37533,3.85450,35.7,1.74238,2.14329,81.3,1.04222,2.94473
Donovan Mitchell,CLE,CHA,G,35.00000,25.13741,5.80818,5.38322,1.69766,0.53222,2.44245,8.70196,19.16686,45.4,3.21602,8.86259,36.3,4.51747,5.52486,81.8,1.26256,4.54563
Evan Mobley,CLE,CHA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Moses Moody,GSW,ORL,F,20.00000,9.06712,3.11344,1.16282,0.80227,0.30687,0.89370,3.23121,7.25957,44.5,1.39579,3.97137,35.1,1.20892,1.57012,77.0,0.70960,2.40384
Wendell Moore,DET,POR,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Ja Morant,MEM,OKC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Trey Murphy,NOP,DAL,F,35.00000,19.40197,6.26467,3.46647,1.10416,0.58530,1.52106,6.67348,14.68733,45.4,2.70840,7.55860,35.8,3.34662,3.91003,85.6,1.88326,4.38141
Dejounte Murray,NOP,DAL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jamal Murray,DEN,UTA,G,36.00000,24.00162,5.03053,6.69433,1.31387,0.38423,2.52513,8.54845,17.59171,48.6,2.95709,7.15419,41.3,3.94764,4.54824,86.8,0.95428,4.07625
Kris Murray,POR,DET,F,20.00000,6.13137,2.70152,1.24830,0.88276,0.22250,1.32540,2.08637,4.98365,41.9,0.72444,2.06410,35.1,1.23419,1.51352,81.5,0.66218,2.03934
Svi Mykhailiuk,UTA,DEN,G,22.00000,6.97124,2.39991,1.67515,0.85110,0.11849,0.79742,2.40618,5.61042,42.9,1.27335,3.53319,36.0,0.88554,1.02739,86.2,0.92426,1.47565
Larry Nance,CLE,CHA,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Andrew Nembhard,IND,BOS,G,33.00000,13.35316,4.44868,5.73873,1.15009,0.24610,2.14944,4.82740,11.46220,42.1,1.51365,4.52771,33.4,2.18471,2.66149,82.1,1.33934,3.10934
Ryan Nembhard,DAL,NOP,G,25.00000,9.01806,3.28616,4.93282,0.83661,0.17243,4.73115,3.11038,7.37433,42.2,0.85821,2.87617,29.8,1.93909,2.33261,83.1,1.18496,2.10120
Aaron Nesmith,IND,BOS,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Georges Niang,UTA,DEN,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Zeke Nnaji,DEN,UTA,C,6.00000,2.29003,1.55402,0.19956,0.14215,0.14234,0.21794,0.82175,1.61320,50.9,0.21867,0.61996,35.3,0.42785,0.67763,63.1,0.57242,0.98160
Jusuf Nurkic,UTA,DEN,C,29.00000,13.11259,12.00057,3.71556,1.22738,0.67127,2.96596,5.16950,10.43197,49.6,0.80737,2.51905,32.1,1.96622,2.88358,68.2,3.44522,8.55535
Gary Payton,GSW,ORL,G,9.00000,3.54748,1.85720,0.47952,0.56181,0.13880,0.36533,1.47136,2.65832,55.3,0.29420,0.90829,32.4,0.31056,0.46281,67.1,0.56705,1.29015
Micah Peavy,NOP,DAL,F,5.00000,1.55146,0.95847,0.31677,0.17561,0.02461,0.12591,0.63852,1.56892,40.7,0.13096,0.52026,25.2,0.14345,0.19771,72.6,0.36621,0.59225
Noah Penda,ORL,GSW,F,10.00000,3.90300,4.03291,1.04327,0.32198,0.26777,0.54850,1.47628,3.01759,48.9,0.47772,1.01838,46.9,0.47273,0.79312,59.6,1.95758,2.07534
Taelon Peter,IND,BOS,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Drew Peterson,CHA,CLE,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jalen Pickett,DEN,UTA,G,12.00000,5.71716,1.70859,2.48678,0.37226,0.02436,0.66854,2.05323,4.58305,44.8,0.68454,1.93597,35.4,0.92616,1.11362,83.2,0.38957,1.31902
Scotty Pippen,MEM,OKC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Mason Plumlee,CHA,CLE,C,5.00000,1.54569,1.80243,0.65383,0.15769,0.14421,0.29137,0.62919,0.99287,63.4,0.02039,0.06324,32.2,0.26692,0.55053,48.5,0.58042,1.22201
Brandin Podziemski,GSW,ORL,G,27.00000,12.69908,5.53934,3.21210,1.18511,0.28378,1.54023,4.70973,10.49582,44.9,1.86682,4.99655,37.4,1.41279,1.82759,77.3,1.00438,4.53497
Jordan Poole,NOP,DAL,G,28.00000,15.81123,3.91268,3.54441,1.09060,0.21132,2.07644,5.40210,12.88681,41.9,2.41843,7.12143,34.0,2.58861,2.97545,87.0,0.58555,3.32713
Craig Porter,CLE,CHA,G,5.00000,2.01836,0.80014,0.78864,0.23538,0.06303,0.44310,0.66760,1.51606,44.0,0.43889,1.12303,39.1,0.24426,0.33846,72.2,0.35050,0.44965
Quinten Post,GSW,ORL,C,25.00000,12.58144,6.66369,1.78736,0.55984,0.80714,1.42386,4.46945,9.96203,44.9,2.17996,5.72104,38.1,1.46259,1.84498,79.3,2.45774,4.20595
Dwight Powell,DAL,NOP,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Payton Pritchard,BOS,IND,G,32.00000,15.94730,5.33789,4.40245,1.13850,0.22823,1.68232,5.68913,12.37599,46.0,2.66249,7.27066,36.6,1.90655,2.35685,80.9,1.30440,4.03349
Tyrese Proctor,CLE,CHA,G,7.00000,2.46889,0.98413,0.91991,0.23458,0.10684,1.17754,0.94223,2.18408,43.1,0.43049,1.31090,32.8,0.15395,0.20266,76.0,0.44477,0.53936
Olivier-Maxence Prosper,MEM,OKC,F,15.00000,5.66720,2.43509,0.98113,0.35565,0.39196,1.13997,2.09193,4.95269,42.2,0.55124,1.76626,31.2,0.93209,1.23657,75.4,0.47604,1.95905
Derik Queen,NOP,DAL,C,27.00000,12.28799,8.93457,3.48935,1.12134,0.79208,2.64063,4.85052,9.90124,49.0,0.29131,1.12592,25.9,2.29565,3.17330,72.3,2.63747,6.29709
Neemias Queta,BOS,IND,C,26.00000,11.96484,9.64626,1.48142,0.68792,1.49137,1.21578,4.86899,7.72180,63.1,0.07794,0.29340,26.6,2.14890,3.05806,70.3,4.38542,5.26084
Duop Reath,POR,DET,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Paul Reed,DET,POR,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Antonio Reeves,CHA,CLE,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Will Richard,GSW,ORL,G,9.00000,3.94987,1.38424,0.62840,0.41646,0.05989,0.76327,1.37169,3.18168,43.1,0.55448,1.66552,33.3,0.65201,0.85469,76.3,0.55286,0.83138
Jase Richardson,ORL,GSW,G,14.00000,6.52748,2.86193,1.56190,0.52712,0.29869,1.06891,2.29367,5.01464,45.7,0.56007,1.68203,33.3,1.38008,1.61294,85.6,0.59445,2.26748
Duncan Robinson,DET,POR,F,25.00000,10.40012,2.68113,2.11262,0.73200,0.12987,1.10794,3.52043,8.17301,43.1,2.24222,5.87083,38.2,1.11704,1.29709,86.1,0.45985,2.22128
Orlando Robinson,ORL,GSW,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Rayan Rupert,POR,DET,G,5.00000,1.44273,0.98541,0.28984,0.21828,0.02746,0.32359,0.53504,1.47869,36.2,0.22518,0.73921,30.5,0.14745,0.21763,67.8,0.21136,0.77406
D'Angelo Russell,DAL,NOP,G,11.00000,5.78962,1.28150,2.14006,0.33348,0.11009,0.62037,1.98951,4.73201,42.0,0.97435,2.75113,35.4,0.83624,1.02044,81.9,0.16301,1.11849
Tidjane Salaun,CHA,CLE,F,15.00000,5.64891,3.91149,1.14825,0.35555,0.22656,0.77332,1.86594,4.82095,38.7,0.76077,2.42743,31.3,1.15625,1.55051,74.6,0.63688,3.27461
Gui Santos,GSW,ORL,F,5.00000,2.49162,1.77646,0.28402,0.11345,0.18134,0.33024,0.96867,1.79031,54.1,0.15425,0.44907,34.3,0.40004,0.54207,73.8,0.57092,1.20554
Marcus Sasser,DET,POR,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Baylor Scheierman,BOS,IND,F,6.00000,2.15268,1.27249,0.51452,0.27592,0.07017,0.21428,0.72283,1.75251,41.2,0.37639,1.06920,35.2,0.33063,0.40820,81.0,0.34526,0.92723
Brice Sensabaugh,UTA,DEN,F,20.00000,10.36948,3.16541,1.61498,0.69571,0.20118,1.26656,3.67021,7.91967,46.3,1.72671,4.40325,39.2,1.30236,1.44276,90.3,0.79080,2.37462
Collin Sexton,CHA,CLE,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Shaedon Sharpe,POR,DET,G,33.00000,22.63742,5.23845,3.89661,1.06916,0.27191,2.72058,7.97206,18.23827,43.7,2.71128,8.22918,32.9,3.98202,4.82387,82.5,1.67693,3.56152
Ben Sheppard,IND,BOS,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Max Shulga,BOS,IND,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Pascal Siakam,IND,BOS,F,34.00000,20.20782,8.79171,4.17384,0.70588,0.62528,2.66622,7.54201,16.79541,44.9,1.73664,5.23515,33.2,3.38716,4.51450,75.0,2.00438,6.78733
Anfernee Simons,BOS,IND,G,25.00000,13.63875,2.92558,3.09395,0.52807,0.11785,1.46567,4.82426,10.94606,44.1,1.88497,5.17444,36.4,2.10525,2.49510,84.4,0.57349,2.35209
KJ Simpson,CHA,CLE,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Javon Small,MEM,OKC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tolu Smith,DET,POR,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Thomas Sorber,OKC,MEM,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Cam Spencer,MEM,OKC,G,36.00000,15.94914,5.95389,5.77462,1.40058,0.21820,1.62328,5.23225,12.58129,41.6,2.89896,7.71565,37.6,2.58567,3.03076,85.3,0.71477,5.23912
Pat Spencer,GSW,ORL,G,10.00000,4.61993,1.62522,1.63165,0.46472,0.04486,0.61360,1.77697,3.99148,44.5,0.46128,1.16466,39.6,0.60471,0.71359,84.7,0.50161,1.12361
Isaiah Stewart,DET,POR,C,23.00000,7.60337,7.23349,1.97722,0.60733,1.34897,1.16369,2.80666,5.38576,52.1,0.44356,1.26954,34.9,1.54648,2.09342,73.9,2.92072,4.31278
Julian Strawther,DEN,UTA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Max Strus,CLE,CHA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jalen Suggs,ORL,GSW,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Ausar Thompson,DET,POR,F,24.00000,11.89812,5.88499,2.30069,1.90548,0.68498,1.46489,4.48123,8.79918,50.9,0.61908,2.10730,29.4,2.31658,3.38451,68.4,1.93985,3.94515
Ethan Thompson,IND,BOS,G,12.00000,3.40863,1.12602,0.84100,0.26334,0.15792,0.15819,1.17221,2.95997,39.6,0.68279,2.07533,32.9,0.38142,0.47571,80.2,0.45783,0.66819
Klay Thompson,DAL,NOP,F,18.00000,9.18703,2.49606,1.25242,0.44299,0.21049,0.65119,3.26827,7.74099,42.2,2.01373,5.23885,38.4,0.63675,0.74407,85.6,0.31544,2.18062
Matisse Thybulle,POR,DET,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Xavier Tillman,BOS,IND,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Nae'Qwan Tomlin,CLE,CHA,F,10.00000,5.40253,3.13438,0.43732,0.17380,0.39058,0.32600,1.97648,4.49631,44.0,0.27160,1.37227,19.8,1.17797,1.64500,71.6,1.32635,1.80803
John Tonje,UTA,DEN,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Nikola Topic,OKC,MEM,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Obi Toppin,IND,BOS,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Oscar Tshiebwe,UTA,DEN,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Hunter Tyson,DEN,UTA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jaylon Tyson,CLE,CHA,F,31.00000,13.60538,4.48889,2.97671,0.86836,0.29076,2.00374,5.14911,12.27646,41.9,1.78534,4.98443,35.8,1.52181,1.87950,81.0,0.80554,3.68335
Jonas Valanciunas,DEN,UTA,C,13.00000,7.65169,5.83293,1.29843,0.24550,0.42983,0.83196,3.00054,5.21697,57.5,0.29258,0.85379,34.3,1.35804,1.69667,80.0,1.59241,4.24053
Dean Wade,CLE,CHA,F,27.00000,8.21531,5.11627,1.69250,0.92171,0.33932,0.56457,3.07460,6.51242,47.2,1.31369,3.73300,35.2,0.75242,1.10646,68.0,1.17244,3.94383
Franz Wagner,ORL,GSW,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Moritz Wagner,ORL,GSW,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jarace Walker,IND,BOS,F,18.00000,7.20822,4.13631,1.48647,0.63581,0.51293,1.12696,2.54942,5.88371,43.3,1.24454,3.26500,38.1,0.86485,1.17135,73.8,1.15899,2.97732
Cason Wallace,OKC,MEM,G,25.00000,8.85431,4.02427,2.43250,1.48774,0.47074,1.05207,3.41237,7.26048,47.0,1.27178,3.40977,37.3,0.75779,0.95931,79.0,0.86267,3.16160
Jordan Walsh,BOS,IND,F,18.00000,4.85533,3.98422,1.02178,0.73297,0.48881,0.79763,1.73007,4.10532,42.1,0.66356,2.21396,30.0,0.73163,1.04492,70.0,1.25648,2.72774
P.J. Washington,DAL,NOP,F,31.00000,14.54642,6.91105,2.09158,1.05120,0.90759,1.27229,5.32268,11.72734,45.4,2.17960,6.14785,35.5,1.72146,2.43279,70.8,1.52400,5.38705
Peyton Watson,DEN,UTA,F,27.00000,11.44718,5.74699,2.08618,0.67146,1.26132,0.94387,4.08802,8.52794,47.9,0.99207,2.87785,34.5,2.27907,3.20534,71.1,1.68173,4.06527
Jaylen Wells,MEM,OKC,F,34.00000,14.42425,6.47324,2.85276,0.79114,0.17997,1.98761,5.07823,11.85223,42.8,2.14911,5.96900,36.0,2.11867,2.61004,81.2,1.33632,5.13692
Blake Wesley,POR,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Derrick White,BOS,IND,G,36.00000,18.60804,5.99090,4.96057,1.06417,1.07255,1.88760,6.35332,14.47219,43.9,2.71875,7.69936,35.3,3.18265,3.96018,80.4,1.02512,4.96578
Aaron Wiggins,OKC,MEM,F,17.00000,8.22818,3.34675,1.37911,0.54933,0.16162,0.73521,3.10719,6.51260,47.7,1.21793,3.20188,38.0,0.79587,1.01941,78.1,0.91601,2.43074
Amari Williams,BOS,IND,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Brandon Williams,DAL,NOP,G,22.00000,12.28842,2.99445,3.29810,0.81517,0.25421,1.39049,4.23691,8.64704,49.0,1.23253,3.43323,35.9,2.58206,3.22497,80.1,0.70721,2.28724
Cody Williams,UTA,DEN,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Grant Williams,CHA,CLE,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jalen Williams,OKC,MEM,F,30.00000,18.08102,6.16636,4.51254,1.38335,0.51269,2.02401,6.65622,13.78514,48.3,1.58654,4.49128,35.3,3.18204,4.04134,78.7,1.20479,4.96156
Jaylin Williams,OKC,MEM,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kenrich Williams,OKC,MEM,F,14.00000,4.69734,3.50920,1.31681,0.54198,0.14770,0.64327,1.83972,4.15598,44.3,0.55023,1.65248,33.3,0.46766,0.73869,63.3,1.12727,2.38193
Robert Williams,POR,DET,C,17.00000,5.82479,6.21388,1.36363,0.63781,0.99821,0.88348,2.38838,3.92391,60.9,0.09748,0.26319,37.0,0.95055,1.15577,82.2,2.67032,3.54356
Vince Williams,MEM,OKC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Zion Williamson,NOP,DAL,F,27.00000,21.05384,7.98954,4.12645,1.03291,0.59045,2.36968,8.24631,14.96656,55.1,0.23725,0.80802,29.4,4.32396,6.16293,70.2,3.13021,4.85933
James Wiseman,IND,BOS,C,11.00000,4.86630,4.39754,0.37018,0.11355,0.45810,0.69858,1.99182,4.04629,49.2,0.14188,0.62685,22.6,0.74077,1.00848,73.5,1.29439,3.10315
Chris Youngblood,OKC,MEM,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
